"english";"russian";"difficulty"
"cinema";"кино";A1
"circle";"круг";A1
"city";"город";A1
"class";"сорт";A1
"classmate";"одноклассник";A1
"classroom";"класс";A1
"clean";"чистый";A1
"clever";"умный";A1
"climb";"взбираться";A1
"clock";"часы";A1
"close";"закрывать";A1
"closed";"закрыто";A1
"cloth";"ткань";A1
"clothes";"одежда";A1
"cloud";"облако";A1
"cloudy";"пасмурно";A1
"club";"клуб";A1
"coach";"тренер";A1
"coat";"пальто";A1
"code";"код";A1
"coffee";"кофе";A1
"cold";"холодный";A1
"collect";"собирать";A1
"collection";"коллекция";A1
"college";"колледж";A1
"color";"цвет";A1
"come";"приходить";A1
"computer";"компьютер";A1
"concert";"концерт";A1
"contest";"конкурс";A1
"conversation";"беседа";A1
"cook";"готовить";A1
"cookie";"печенье";A1
"cool";"прохладный";A1
"cop";"полицейский";A1
"copy";"копировать";A1
"corn";"кукуруза";A1
"corner";"угол";A1
"correct";"правильный";A1
"couch";"диван";A1
"could";"мог";A1
"course";"курс";A1
"cousin";"двоюродный брат";A1
"cover";"крышка";A1
"cow";"корова";A1
"cream";"крем";A1
"credit card";"кредитная карта";A1
"cry";"плакать";A1
"culture";"культура";A1
"cup";"чашка";A1
"cut";"резать";A1
"cute";"милый";A1
"dad";"папа";A1
"daddy";"папочка";A1
"dance";"танцевать";A1
"dancing";"танцы";A1
"dark";"темный";A1
"date";"дата";A1
"daughter";"дочь";A1
"day";"день";A1
"December";"декабрь";A1
"delicious";"вкусный";A1
"describe";"описывать";A1
"design";"дизайн";A1
"desk";"рабочий стол";A1
"dictionary";"словарь";A1
"did";"делал";A1
"difference";"разница";A1
"different";"различный";A1
"difficult";"трудный";A1
"dig";"копать";A1
"dining room";"столовая";A1
"dinner";"ужин";A1
"dirty";"грязный";A1
"discuss";"обсуждать";A1
"dish";"блюдо";A1
"do";"делать";A1
"doctor";"доктор";A1
"dog";"собака";A1
"doing";"делает";A1
"doll";"кукла";A1
"dollar";"доллар";A1
"door";"дверь";A1
"down";"вниз";A1
"drama";"драма";A1
"draw";"рисовать";A1
"dream";"мечтать";A1
"dress";"одеваться";A1
"drink";"напиток";A1
"drive";"водить машину";A1
"driver";"водитель";A1
"drop";"уронить";A1
"drum";"барабан";A1
"dry";"сухой";A1
"due";"должный";A1
"DVD";"DVD";A1
"each other";"друг друга";A1
"ear";"ухо";A1
"early";"рано";A1
"easy";"легкий";A1
"eat";"есть";A1
"egg";"яйцо";A1
"eight";"восемь";A1
"eighteen";"восемнадцать";A1
"eighty";"восемьдесят";A1
"either";"или";A1
"elementary";"элементарный";A1
"eleven";"одиннадцать";A1
"else";"еще";A1
"email";"электронная почта";A1
"end";"конец";A1
"engineer";"инженер";A1
"enjoy";"наслаждаться";A1
"evening";"вечер";A1
"event";"событие";A1
"every";"каждый";A1
"everybody";"все";A1
"everyday";"каждый день";A1
"everything";"всё";A1
"everywhere";"повсюду";A1
"example";"пример";A1
"excellent";"отличный";A1
"excited";"взволнованный";A1
"exciting";"захватывающий";A1
"excuse";"извинение";A1
"exercise";"упражнение";A1
"expensive";"дорогой";A1
"eye";"глаз";A1
"face";"лицо";A1
"factory";"фабрика";A1
"fair";"справедливый";A1
"fairy";"сказочный";A1
"false";"ложь";A1
"family";"семья";A1
"famous";"известный";A1
"fan";"вентилятор";A1
"farm";"ферма";A1
"farmer";"фермер";A1
"fast";"быстрый";A1
"fat";"толстый";A1
"father";"отец";A1
"favorite";"любимый";A1
"February";"февраль";A1
"feed";"кормить";A1
"feel";"чувствовать";A1
"feeling";"чувство";A1
"festival";"фестиваль";A1
"fever";"высокая температура";A1
"field";"поле";A1
"fifteen";"пятнадцать";A1
"fifty";"пятьдесят";A1
"fight";"драться";A1
"file";"файл";A1
"fill";"наполнять";A1
"find";"находить";A1
"fine";"отлично";A1
"finish";"заканчивать";A1
"fire";"огонь";A1
"first";"первый";A1
"fish";"рыба";A1
"fishing";"рыбалка";A1
"five";"пять";A1
"flag";"флаг";A1
"flat";"плоский";A1
"floor";"пол";A1
"flower";"цветок";A1
"fly";"летать";A1
"focus";"фокус";A1
"foggy";"туманный";A1
"following";"следующий";A1
"food";"еда";A1
"football";"футбол";A1
"for";"для";A1
"foreign";"иностранный";A1
"foreigner";"иностранец";A1
"forget";"забывать";A1
"form";"форма";A1
"forty";"сорок";A1
"four";"четыре";A1
"fourteen";"четырнадцать";A1
"free";"бесплатно";A1
"Friday";"Пятница";A1
"friend";"друг";A1
"frog";"лягушка";A1
"from";"от";A1
"front";"передний";A1
"fruit";"фрукты";A1
"full";"полный";A1
"fun";"веселье";A1
"funny";"забавный";A1
"future";"будущее";A1
"game";"игра";A1
"garbage";"мусор";A1
"garden";"сад";A1
"get";"получать";A1
"ghost";"призрак";A1
"gift";"подарок";A1
"girl";"девочка";A1
"girlfriend";"подруга";A1
"give";"давать";A1
"glad";"радостный";A1
"glass";"стекло";A1
"glasses";"очки";A1
"go";"идти";A1
"goal";"цель";A1
"gold";"золото";A1
"good";"хороший";A1
"good afternoon";"добрый день";A1
"good morning";"доброе утро";A1
"good night";"спокойной ночи";A1
"grade";"оценка";A1
"grammar";"грамматика";A1
"grandfather";"дедушка";A1
"grandma";"бабушка";A1
"grandmother";"бабушка";A1
"grandparents";"дедушка и бабушка";A1
"grape";"виноград";A1
"grass";"трава";A1
"gray";"серый";A1
"great";"большой";A1
"green";"зеленый";A1
"greet";"приветствовать";A1
"ground";"земля";A1
"group";"группа";A1
"grow";"расти";A1
"guess";"предполагать";A1
"guest";"гость";A1
"guitar";"гитара";A1
"guy";"парень";A1
"habit";"привычка";A1
"had";"имел";A1
"hair";"волосы";A1
"haircut";"стрижка";A1
"half";"половина";A1
"hall";"зал";A1
"hamburger";"гамбургер";A1
"hand";"рука";A1
"handsome";"красивый";A1
"happen";"случаться";A1
"happy";"счастливый";A1
"hard";"жесткий";A1
"has";"имеет";A1
"hat";"шляпа";A1
"have";"иметь";A1
"have to";"должен";A1
"he";"он";A1
"head";"голова";A1
"headache";"головная боль";A1
"health";"здоровье";A1
"healthy";"здоровый";A1
"hear";"слышать";A1
"heart";"сердце";A1
"heavy";"тяжелый";A1
"hello";"привет";A1
"help";"помощь";A1
"her";"ее";A1
"here";"здесь";A1
"hers";"ее";A1
"hi";"привет";A1
"hide";"скрывать";A1
"high";"высокий";A1
"hill";"холм";A1
"him";"ему";A1
"his";"его";A1
"history";"история";A1
"hobby";"хобби";A1
"hold";"держать";A1
"hole";"дыра";A1
"holiday";"праздничный день";A1
"home";"дом";A1
"hometown";"родной город";A1
"homework";"домашнее задание";A1
"hope";"надеяться";A1
"horse";"лошадь";A1
"hospital";"больница";A1
"hot";"горячий";A1
"hotel";"отель";A1
"hour";"час";A1
"house";"дом";A1
"how";"как";A1
"hungry";"голодный";A1
"hurry";"торопиться";A1
"hurt";"повредить";A1
"husband";"муж";A1
"I";"я";A1
"ice";"лед";A1
"ice cream";"мороженое";A1
"idea";"идея";A1
"ideal";"идеальный";A1
"if";"если";A1
"imagine";"представлять себе";A1
"important";"важный";A1
"in";"в";A1
"information";"информация";A1
"inside";"внутри";A1
"interested";"заинтересованный";A1
"interesting";"интересный";A1
"internet";"интернет";A1
"interview";"интервью";A1
"interviewer";"интервьюер";A1
"into";"в";A1
"introduce";"представлять";A1
"is";"является";A1
"island";"остров";A1
"it";"это";A1
"item";"элемент";A1
"its";"его";A1
"jacket";"куртка";A1
"January";"январь";A1
"jeans";"джинсы";A1
"jet";"реактивный самолет";A1
"jewelry";"ювелирные изделия";A1
"job";"работа";A1
"join";"присоединиться";A1
"judge";"судить";A1
"juice";"сок";A1
"July";"июль";A1
"jump";"прыгать";A1
"June";"июнь";A1
"just";"только";A1
"keep";"держать";A1
"key";"ключ";A1
"kick";"пинать";A1
"kid";"ребенок";A1
"kill";"убийство";A1
"kind";"добрый";A1
"king";"король";A1
"kiss";"целовать";A1
"kitchen";"кухня";A1
"kite";"летающий змей";A1
"knee";"колено";A1
"knife";"нож";A1
"know";"знать";A1
"lady";"леди";A1
"language";"язык";A1
"large";"большой";A1
"last name";"фамилия";A1
"late";"поздно";A1
"later";"позже";A1
"laugh";"смех";A1
"lazy";"ленивый";A1
"leader";"лидер";A1
"leaf";"лист";A1
"learn";"учиться";A1
"leave";"оставлять";A1
"left";"левый";A1
"leg";"нога";A1
"lesson";"урок";A1
"let";"позволять";A1
"letter";"письмо";A1
"library";"библиотека";A1
"life";"жизнь";A1
"light";"свет";A1
"like";"нравиться";A1
"lily";"лилия";A1
"line";"линия";A1
"lion";"лев";A1
"list";"список";A1
"listen";"слушать";A1
"little";"маленький";A1
"live";"жить";A1
"living";"жизнь";A1
"living room";"гостиная";A1
"lonely";"одинокий";A1
"long";"длинный";A1
"look";"смотреть";A1
"lot";"много";A1
"love";"любовь";A1
"lovely";"прелестный";A1
"luck";"удача";A1
"lucky";"удачливый";A1
"lunch";"обед";A1
"machine";"машина";A1
"magazine";"журнал";A1
"mail";"почта";A1
"make";"делать";A1
"man";"мужчина";A1
"many";"много";A1
"map";"карта";A1
"march";"маршировать";A1
"match";"соответствовать";A1
"math";"математика";A1
"matter";"иметь значение";A1
"may";"может";A1
"maybe";"может быть";A1
"me";"мне";A1
"meal";"еда";A1
"mean";"иметь в виду";A1
"meat";"мясо";A1
"medicine";"лекарство";A1
"meet";"встретиться";A1
"meeting";"встреча";A1
"memory";"память";A1
"merry";"веселый";A1
"message";"сообщение";A1
"middle";"середина";A1
"milk";"молоко";A1
"mind";"разум";A1
"mine";"мой";A1
"minute";"минута";A1
"miss";"cкучать";A1
"mobile";"мобильный";A1
"mobile phone";"мобильный телефон";A1
"mom";"мама";A1
"moment";"момент";A1
"mommy";"мама";A1
"Monday";"понедельник";A1
"money";"деньги";A1
"monkey";"обезьяна";A1
"month";"месяц";A1
"moon";"луна";A1
"more";"более";A1
"morning";"утро";A1
"most";"большинство";A1
"mother";"мать";A1
"mountain";"гора";A1
"mouse";"мышь";A1
"mouth";"рот";A1
"move";"двигаться";A1
"movie";"фильм";A1
"Mr";"мистер";A1
"Mrs";"миссис";A1
"much";"много";A1
"mum";"мама";A1
"music";"музыка";A1
"musician";"музыкант";A1
"must";"должен";A1
"my";"мой";A1
"name";"имя";A1
"nationality";"национальность";A1
"near";"около";A1
"neck";"шея";A1
"need";"нуждаться";A1
"neighbor";"сосед";A1
"never";"никогда";A1
"new";"новый";A1
"news";"новости";A1
"newspaper";"газета";A1
"nice";"хороший";A1
"night";"ночь";A1
"nine";"девять";A1
"nineteen";"девятнадцать";A1
"ninety";"девяносто";A1
"no";"нет";A1
"noise";"шум";A1
"nose";"нос";A1
"not";"нет";A1
"note";"примечание";A1
"notebook";"блокнот";A1
"nothing";"ничего";A1
"November";"ноябрь";A1
"now";"сейчас";A1
"number";"число";A1
"nurse";"медсестра";A1
"o'clock";"час";A1
"October";"октябрь";A1
"of";"из";A1
"off";"выключенный";A1
"office";"офис";A1
"officer";"офицер";A1
"often";"часто";A1
"old";"старый";A1
"olympics";"олимпийские игры";A1
"on";"на";A1
"once";"один раз";A1
"one";"один";A1
"only";"только";A1
"open";"открыть";A1
"opera";"опера";A1
"or";"или";A1
"orange";"апельсин";A1
"order";"заказ";A1
"other";"другие";A1
"our";"наш";A1
"ours";"наш";A1
"out";"вне";A1
"outside";"снаружи";A1
"over";"над";A1
"own";"собственный";A1
"owner";"владелец";A1
"page";"страница";A1
"paint";"краска";A1
"painting";"рисование";A1
"pair";"пара";A1
"palace";"дворец";A1
"pants";"брюки";A1
"paper";"бумага";A1
"paragraph";"абзац";A1
"pardon";"прощение";A1
"parent";"родитель";A1
"park";"парк";A1
"partner";"партнер";A1
"party";"вечеринка";A1
"past";"прошлое";A1
"pay";"платить";A1
"peace";"мир";A1
"pen";"ручка";A1
"pencil";"карандаш";A1
"people";"люди";A1
"period";"период";A1
"person";"человек";A1
"personal";"личный";A1
"pet";"домашний питомец";A1
"phone";"телефон";A1
"photo";"фото";A1
"piano";"фортепиано";A1
"pick";"выбирать";A1
"picnic";"пикник";A1
"picture";"картина";A1
"piece";"кусок";A1
"pig";"свинья";A1
"pink";"розовый";A1
"pizza";"пицца";A1
"place";"место";A1
"plan";"план";A1
"plane";"самолет";A1
"play";"играть";A1
"player";"игрок";A1
"please";"пожалуйста";A1
"pleasure";"удовольствие";A1
"pocket";"карман";A1
"poem";"стихотворение";A1
"point";"точка";A1
"pollution";"загрязнение";A1
"pool";"бассейн";A1
"poor";"бедный";A1
"pop";"поп";A1
"post";"почта";A1
"poster";"плакат";A1
"potato";"картофель";A1
"practice";"упражняться";A1
"practice";"практика";A1
"pray";"молиться";A1
"present";"подарок";A1
"pretty";"симпатичный";A1
"price";"цена";A1
"prince";"принц";A1
"princess";"принцесса";A1
"problem";"проблема";A1
"program";"программа";A1
"purple";"фиолетовый";A1
"push";"толкать";A1
"put";"помещать";A1
"quarter";"четверть";A1
"question";"вопрос";A1
"quickly";"быстро";A1
"quiet";"тихий";A1
"rabbit";"кролик";A1
"radio";"радио";A1
"rain";"дождь";A1
"rainy";"дождливый";A1
"rat";"крыса";A1
"read";"читать";A1
"reader";"читатель";A1
"reading";"чтение";A1
"ready";"готовый";A1
"real";"настоящий";A1
"really";"Действительно";A1
"reason";"причина";A1
"red";"красный";A1
"remember";"помнить";A1
"repeat";"повторить";A1
"reporter";"репортер";A1
"restaurant";"ресторан";A1
"result";"результат";A1
"review";"обзор";A1
"ribbon";"лента";A1
"rice";"рис";A1
"rich";"богатый";A1
"ride";"поездка";A1
"right";"верно";A1
"ring";"кольцо";A1
"river";"река";A1
"role";"роль";A1
"room";"комната";A1
"rose";"роза";A1
"row";"ряд";A1
"rude";"грубый";A1
"rule";"правило";A1
"ruler";"правитель";A1
"run";"бегать";A1
"sad";"грустный";A1
"sailor";"матрос";A1
"salad";"салат";A1
"sale";"распродажа";A1
"same";"такой же";A1
"sandwich";"бутерброд";A1
"Saturday";"Суббота";A1
"save";"сохранять";A1
"saw";"пила";A1
"say";"сказать";A1
"school";"школа";A1
"science";"наука";A1
"scientist";"учёный";A1
"sea";"море";A1
"seat";"сиденье";A1
"second";"второй";A1
"section";"раздел";A1
"see";"видеть";A1
"self";"себя";A1
"sell";"продавать";A1
"sentence";"предложение";A1
"September";"сентябрь";A1
"set";"набор";A1
"seven";"семь";A1
"seventeen";"семнадцать";A1
"seventy";"семьдесят";A1
"shake";"трясти";A1
"share";"делиться";A1
"she";"она";A1
"sheep";"овца";A1
"shelf";"полка";A1
"ship";"корабль";A1
"shirt";"рубашка";A1
"shoe";"туфля";A1
"shop";"магазин";A1
"shopping";"шопинг";A1
"short";"короткий";A1
"should";"должен";A1
"shoulder";"плечо";A1
"show";"показывать";A1
"shower";"душ";A1
"shy";"застенчивый";A1
"sick";"больной";A1
"side";"сторона";A1
"sight";"взгляд";A1
"sign";"знак";A1
"sing";"петь";A1
"singer";"певец";A1
"sir";"сэр";A1
"sister";"сестра";A1
"sit";"сидеть";A1
"site";"сайт";A1
"six";"шесть";A1
"sixteen";"шестнадцать";A1
"sixty";"шестьдесят";A1
"size";"размер";A1
"skill";"навык";A1
"skirt";"юбка";A1
"sky";"небо";A1
"sleep";"спать";A1
"slow";"медленный";A1
"small";"маленький";A1
"smart";"умный";A1
"smell";"запах";A1
"smile";"улыбка";A1
"smith";"кузнец";A1
"smoke";"курить";A1
"smoking";"курение";A1
"snake";"змея";A1
"snow";"снег";A1
"snowy";"снежный";A1
"so";"так";A1
"soccer";"футбольный";A1
"social";"социальный";A1
"sofa";"диван";A1
"solve";"решать";A1
"some";"некоторый";A1
"someone";"кто-то";A1
"something";"что-нибудь";A1
"son";"сын";A1
"song";"песня";A1
"soon";"скоро";A1
"sorry";"извини";A1
"soup";"суп";A1
"speak";"говорить";A1
"special";"особенный";A1
"speech";"речь";A1
"spell";"заклинание";A1
"spend";"тратить";A1
"sport";"спорт";A1
"spot";"место";A1
"spring";"весна";A1
"spy";"шпион";A1
"stage";"этап";A1
"stand";"стоять";A1
"star";"звезда";A1
"start";"начинать";A1
"station";"станция";A1
"stay";"оставаться";A1
"step";"шаг";A1
"still";"все еще";A1
"stone";"камень";A1
"stop";"останавливаться";A1
"store";"магазин";A1
"story";"история";A1
"straight";"прямой";A1
"strange";"странный";A1
"street";"улица";A1
"strict";"строгий";A1
"strong";"сильный";A1
"student";"студент";A1
"study";"изучать";A1
"subject";"предмет";A1
"subway";"метро";A1
"successful";"успешный";A1
"sugar";"сахар";A1
"suggestion";"предположение";A1
"sum";"сумма";A1
"summer";"лето";A1
"sun";"солнце";A1
"Sunday";"Воскресенье";A1
"sunny";"солнечный";A1
"sunshine";"солнечный свет";A1
"super";"супер";A1
"supermarket";"супермаркет";A1
"sure";"конечно";A1
"surf";"сёрфить";A1
"surprise";"сюрприз";A1
"survey";"опрос";A1
"sweet";"сладкий";A1
"swim";"плавать";A1
"swimming";"плавание";A1
"swimming pool";"бассейн";A1
"table";"стол";A1
"take";"брать";A1
"talk";"разговаривать";A1
"tall";"высокий";A1
"taxi";"такси";A1
"tea";"чай";A1
"teach";"учить";A1
"teacher";"учитель";A1
"team";"команда";A1
"technology";"технология";A1
"telephone";"телефон";A1
"television";"телевидение";A1
"tell";"рассказывать";A1
"temple";"храм";A1
"ten";"десять";A1
"tennis";"теннис";A1
"terrible";"ужасный";A1
"test";"тест";A1
"than";"чем";A1
"thank";"благодарить";A1
"thanks";"Спасибо";A1
"that";"что";A1
"the";"тот";A1
"theater";"театр";A1
"their";"их";A1
"them";"их";A1
"then";"затем";A1
"there";"там";A1
"these";"эти";A1
"they";"они";A1
"thick";"толстый";A1
"thin";"тонкий";A1
"thing";"вещь";A1
"think";"думать";A1
"thirteen";"тринадцать";A1
"thirty";"тридцать";A1
"this";"этот";A1
"those";"те";A1
"three";"три";A1
"through";"через";A1
"throw";"бросать";A1
"Thursday";"Четверг";A1
"ticket";"билет";A1
"tiger";"тигр";A1
"tight";"тугой";A1
"time";"время";A1
"tired";"усталый";A1
"to";"к";A1
"today";"сегодня";A1
"together";"вместе";A1
"toilet";"туалет";A1
"tomato";"помидор";A1
"tomorrow";"завтра";A1
"tonight";"сегодня вечером";A1
"too";"слишком";A1
"tool";"инструмент";A1
"tooth";"зуб";A1
"top";"вершина";A1
"topic";"тема";A1
"touch";"трогать";A1
"towel";"полотенце";A1
"tower";"башня";A1
"town";"город";A1
"toy";"игрушка";A1
"train";"тренироваться";A1
"travel";"путешествовать";A1
"tree";"дерево";A1
"trip";"путешествие";A1
"trousers";"брюки";A1
"truck";"грузовик";A1
"true";"истинный";A1
"try";"пытаться";A1
"t-shirt";"футболка";A1
"tube";"трубка";A1
"Tuesday";"вторник";A1
"turkey";"индейка";A1
"turn";"повернуть";A1
"TV";"ТВ";A1
"twelve";"двенадцать";A1
"twenty";"двадцать";A1
"two";"два";A1
"type";"тип";A1
"ugly";"уродливый";A1
"umbrella";"зонтик";A1
"uncle";"дядя";A1
"under";"под";A1
"underline";"подчеркнуть";A1
"until";"до";A1
"up";"вверх";A1
"us";"нас";A1
"use";"использовать";A1
"usually";"обычно";A1
"vacation";"отпуск";A1
"vase";"ваза";A1
"vegetable";"овощ";A1
"very";"очень";A1
"video";"видео";A1
"visit";"посещать";A1
"volleyball";"волейбол";A1
"vote";"голосование";A1
"wait";"ждать";A1
"waiter";"официант";A1
"waitress";"официантка";A1
"wake";"будить";A1
"walk";"ходить";A1
"wall";"стена";A1
"want";"хотеть";A1
"war";"война";A1
"warm";"теплый";A1
"was";"был";A1
"wash";"стирать";A1
"watch";"смотреть";A1
"water";"вода";A1
"way";"способ";A1
"we";"мы";A1
"wear";"носить";A1
"weather";"погода";A1
"Wednesday";"Среда";A1
"week";"неделя";A1
"weekend";"выходные";A1
"welcome";"добро пожаловать";A1
"well";"хорошо";A1
"were";"были";A1
"what";"что";A1
"wheel";"колесо";A1
"when";"когда";A1
"where";"где";A1
"which";"который";A1
"white";"белый";A1
"who";"кто";A1
"whose";"чей";A1
"why";"почему";A1
"wife";"жена";A1
"will";"воля";A1
"win";"победить";A1
"wind";"ветер";A1
"window";"окно";A1
"winter";"зима";A1
"wish";"желание";A1
"with";"с";A1
"woman";"женщина";A1
"wonderful";"замечательный";A1
"word";"слово";A1
"work";"работа";A1
"worker";"рабочий";A1
"world";"мир";A1
"worry";"волноваться";A1
"would";"бы";A1
"write";"писать";A1
"writer";"писатель";A1
"wrong";"неправильный";A1
"yard";"площадка";A1
"year";"год";A1
"yellow";"желтый";A1
"yes";"да";A1
"yesterday";"вчера";A1
"yet";"еще";A1
"yogurt";"йогурт";A1
"you";"ты";A1
"young";"молодой";A1
"your";"твой";A1
"yourself";"сам";A1
"zoo";"зоопарк";A1
