english_word; russian_translation
'armful';'охапка'
'arouse';'возбуждать'
'arrogant';'высокомерный'
'artery';'артерия'
'articulate';'формулировать'
'artificially';'искусственно'
'artistry';'артистизм'
'ash';'пепел'
'aspiration';'стремление'
'aspire';'стремиться'
'assault';'атаковать'
'assemble';'собрать'
'assembly';'сборка'
'assert';'утверждать'
'assess';'оценивать'
'assessment';'оценка'
'assumption';'предположение'
'assurance';'гарантия'
'assure';'гарантировать'
'astonish';'удивлять'
'astonished';'пораженный'
'astonishing';'удивительный'
'astonishment';'изумление'
'astronomy';'астрономия'
'athletics';'легкая атлетика'
'attached';'прикрепил'
'attainable';'достижимый'
'attainment';'достижение'
'attendance';'посещаемость'
'attentive';'внимательный'
'attentively';'внимательно'
'attractiveness';'привлекательность'
'attribute';'атрибут'
'atypical';'нетипичный'
'aubergine';'баклажаны'
'audit';'аудит'
'audition';'прослушивание'
'authoritative';'авторитетный'
'authorize/authorise';'авторизовать/разрешить'
'availability';'доступность'
'await';'ждать'
'awe';'трепет'
'ax/axe';'топор/топор'
'axis';'ось'
'backup';'резервное копирование'
'backward/backwards';'назад/назад'
'backyard';'задний двор'
'badge';'значок'
'bad-tempered';'вспыльчивый'
'balance';'баланс'
'balanced';'сбалансированный'
'balky';'упрямый'
'ballad';'баллада'
'ballet';'балет'
'ballot';'избирательный бюллетень'
'ban';'запретить'
'banker';'банкир'
'bankrupt';'банкрот'
'bankruptcy';'банкротство'
'barbershop';'парикмахерская'
'bare';'голый'
'bargain';'торговаться'
'bark';'лаять'
'barley';'ячмень'
'barn';'сарай'
'barometer';'барометр'
'barren';'бесплодный'
'barrier';'барьер'
'bartender';'бармен'
'bathhouse';'баня'
'battlefield';'поле битвы'
'beagle';'бигль'
'beak';'клюв'
'beam';'луч'
'bearing';'несущий'
'beat';'бить'
'beautify';'украшать'
'bellow';'рев'
'belongings';'вещи'
'bend';'сгибать'
'beneficial';'выгодный'
'benefit';'выгода'
'benevolence';'доброжелательность'
'benevolent';'доброжелательный'
'berry';'ягода'
'bestow';'дарить'
'bestseller';'бестселлер'
'betray';'предавать'
'bewilder';'сбивать с толку'
'bewilderment';'недоумение'
'bid';'делать ставку'
'bidding';'торги'
'bikini';'бикини'
'billion';'миллиард'
'bind';'связывать'
'bio';'био'
'biological';'биологический'
'biotechnology';'биотехнология'
'birdcage';'птичья клетка'
'birthplace';'место рождения'
'bitterly';'горько'
'bizarre';'странный'
'blade';'лезвие'
'blast';'взрыв'
'blaze';'полыхать'
'blend';'смешивать'
'blindly';'слепо'
'blindness';'слепота'
'blink';'моргать'
'bloodstream';'кровоток'
'bloody';'кровавый'
'blooming';'цветущий'
'blossom';'цвести'
'blur';'размытие'
'blurt';'болтать'
'blush';'краснеть'
'boiling';'кипение'
'bold';'смелый'
'bolt';'болт'
'bombard';'бомбардировать'
'bomber';'бомбардировщик'
'bombing';'бомбардировка'
'bony';'костлявый'
'bookish';'книжный'
'booklet';'буклет'
'bookmark';'закладка'
'boost';'способствовать росту'
'booth';'стенд'
'bossy';'властный'
'botany';'ботаника'
'bothered';'беспокоил'
'bothersome';'надоедливый'
'bottle';'бутылка'
'bounce';'подпрыгивать'
'bourbon';'бурбон'
'bow';'поклон'
'boxer';'боксер'
'bracket';'кронштейн'
'brag';'хвастаться'
'brake';'тормоз'
'bravery';'храбрость'
'breakable';'хрупкий'
'breakdown';'авария'
'breakup';'расставаться'
'breathtaking';'захватывающий дух'
'breed';'порода'
'breezy';'свежий'
'brewery';'пивоварня'
'brilliantly';'блестяще'
'broadband';'широкополосный доступ'
'broadcast';'транслировать'
'broadcaster';'телеведущий'
'broaden';'расширять'
'broadly';'широко'
'brochure';'брошюра'
'brother-in-law';'шурин'
'browse';'просматривать'
'browser';'браузер'
'bruise';'синяк'
'bud';'бутон'
'budget';'бюджет'
'bulimia';'булимия'
'bully';'терроризировать'
'bum';'бездельничать'
'bumper';'бампер'
'bun';'булочка'
'burden';'груз'
'burdensome';'обременительный'
'bureaucracy';'бюрократия'
'burglary';'ограбление'
'burgle';'грабить'
'burial';'захоронение'
'bustle';'суета'
'bustling';'шумный'
'butcher';'мясник'
'buzz';'гул'
'cabinet';'кабинет'
'cable';'кабель'
'calmly';'спокойно'
'campaign';'кампания'
'candidate';'кандидат'
'cane';'трость'
'cannonball';'пушечное ядро'
'canon';'канон'
'capability';'способность'
'caption';'подпись'
'captive';'пленник'
'caravan';'караван'
'carbon';'углерод'
'carbon dioxide';'углекислый газ'
'carbon footprint';'углеродный след'
'carbon monoxide';'окись углерода'
'cardboard';'картон'
'cardigan';'кардиган'
'carefree';'беззаботный'
'caring';'заботливый'
'carnival';'карнавал'
'carpool';'автобаза'
'carve';'вырезать'
'cascade';'каскад'
'cast';'бросать'
'casually';'случайно'
'catalog/catalogue';'каталог/каталог'
'catalyst';'катализатор'
'catastrophe';'катастрофа'
'catastrophic';'катастрофический'
'catchy';'запоминающийся'
'categorization/categorisation';'категоризация / категоризация'
'catering';'кейтеринг'
'cathedral';'собор'
'cause';'причина'
'cease';'прекратить'
'ceiling';'потолок'
'cellar';'подвал'
'cellist';'виолончелист'
'cello';'виолончель'
'cemetery';'кладбище'
'centigrade';'стоградусный'
'certificate';'сертификат'
'certification';'сертификация'
'certify';'сертифицировать'
'challenge';'испытание'
'chancellor';'канцлер'
'chaotic';'хаотичный'
'characteristic';'характеристика'
'charming';'очаровательный'
'chase';'гнаться'
'cheat';'изменять'
'checkpoint';'контрольно-пропускной пункт'
'cheeky';'нахальный'
'cheerfully';'весело'
'cheerfulness';'жизнерадостность'
'chemotherapy';'химиотерапия'
'cherished';'заветный'
'cherry';'вишня'
'chew';'жевать'
'chief';'главный'
'childish';'детский'
'chimney';'камин'
'chip';'чип'
'chop';'нарезать'
'chunk';'кусок'
'circuit';'схема'
'circuitry';'схема'
'circumstance';'обстоятельство'
'citywide';'В масштабах города'
'clam';'моллюск'
'clap';'хлопать в ладоши'
'clarify';'объяснить'
'classic';'классический'
'classification';'классификация'
'clause';'пункт'
'clearness';'ясность'
'clerical';'клерикальный'
'client';'клиент'
'climate change';'изменение климата'
'clog';'засорять'
'closure';'закрытие'
'clothing';'одежда'
'clumsy';'неуклюжий'
'coach';'тренер'
'coaching';'коучинг'
'coalition';'коалиция'
'coarse';'грубый'
'coastline';'береговая линия'
'cocktail';'коктейль'
'cocoa';'какао'
'coconut';'кокос'
'coherence';'согласованность'
'coherent';'последовательный'
'coincide';'совпадать'
'coincidence';'совпадение'
'collapse';'крах'
'colleague';'коллега'
'collector';'коллекционер'
'collocation';'словосочетание'
'colon';'толстая кишка'
'colonial';'колониальный'
'coma';'кома'
'comb';'гребень'
'comfortably';'комфортно'
'commander';'командир'
'commemorate';'почтить память'
'comment';'комментарий'
'commerce';'коммерция'
'commercial';'коммерческий'
'commission';'комиссия'
'commonwealth';'Содружество'
'communicative';'коммуникативный'
'community';'сообщество'
'commute';'добираться'
'compassion';'сострадание'
'compassionate';'сострадательный'
'compatible';'совместимый'
'compensate';'компенсировать'
'compensation';'компенсация'
'competence';'компетентность'
'competent';'компетентный'
'compile';'компилировать'
'completion';'завершение'
'complexion';'цвет лица'
'complexity';'сложность'
'component';'компонент'
'comprehension';'понимание'
'comprehensive';'всесторонний'
'compress';'компресс'
'compression';'сжатие'
'compromise';'компромисс'
'compulsory';'принудительный'
'compute';'вычислить'
'conceal';'скрывать'
'concede';'уступать'
'conceit';'тщеславие'
'conceivable';'мыслимый'
'conceive';'зачать'
'conception';'концепция'
'concern';'беспокойство'
'concerning';'касательно'
'concession';'уступка'
'concrete';'конкретный'
'condemn';'осуждать'
'conduct';'руководить'
'conductor';'дирижер'
'cone';'конус'
'conference';'конференция'
'conferencing';'конференц-связь'
'confess';'признаваться'
'confession';'признание'
'confidently';'уверенно'
'confine';'ограничивать'
'confront';'противостоять'
'conjunction';'соединение'
'conquest';'завоевание'
'conscience';'совесть'
'consciousness';'сознание'
'consensus';'консенсус'
'consent';'согласие'
'considerably';'значительно'
'considering';'учитывая'
'consistent';'последовательный'
'consolation';'утешение'
'console';'консоль'
'constant';'постоянный'
'consult';'проконсультироваться'
'consultant';'консультант'
'contaminate';'загрязнять'
'contemporary';'современный'
'contempt';'презрение'
'content';'содержание'
'contract';'договор'
'contradict';'противоречить'
'contradiction';'противоречие'
'contradictory';'противоречивый'
'controversy';'полемика'
'conveniently';'удобно'
'convention';'соглашение'
'conventional';'общепринятый'
'converse';'беседовать'
'conversely';'наоборот'
'conversion';'преобразование'
'convert';'конвертировать'
'convinced';'убежденный'
'cool';'прохладный'
'cooperate';'сотрудничать'
'cooperation';'сотрудничество'
'cooperative';'кооператив'
'cope';'справляться'
'copper';'медь'
'coral';'коралл'
'core';'основной'
'cornerstone';'краеугольный камень'
'cornet';'корнет'
'corona';'корона'
'corporal';'капрал'
'corporate';'корпоративный'
'corporation';'корпорация'
'correct';'правильный'
'correctness';'правильность'
'correspond';'переписываться'
'correspondence';'переписка'
'correspondent';'корреспондент'
'corresponding';'соответствующий'
'corridor';'коридор'
'corrupt';'коррумпированный'
'corruption';'коррупция'
'costly';'дорогостоящий'
'costume';'костюм'
'cottage';'коттедж'
'cough';'кашель'
'counter';'прилавок'
'countryman';'земляк'
'countrywide';'по всей стране'
'courtesy';'учтивость'
'coward';'трус'
'cowardly';'трусливый'
'coziness/cosiness';'уют/уют'
'cozy/cosy';'уютный/уютный'
'crab';'краб'
'crack';'трескаться'
'craftsman';'ремесленник'
'crater';'кратер'
'crawl';'ползти'
'crease';'складка'
'creation';'создание'
'creatively';'творчески'
'creek';'ручей'
'creepy';'противный'
'crew';'экипаж'
'criminal';'преступник'
'cripple';'калечить'
'critically';'критически'
'criticism';'критика'
'crocodile';'крокодил'
'crossly';'сердито'
'crucial';'ключевой'
'cruelly';'жестоко'
'cruelty';'жестокость'
'cruise';'круиз'
'crystallize/crystallise';'кристаллизоваться/кристаллизовать'
'cube';'куб'
'cubism';'кубизм'
'cuff';'манжета'
'culmination';'кульминация'
'culturally';'культурно'
'cure';'излечивать'
'curl';'завиток'
'cursor';'курсор'
'cyberaddict';'кибернаркоман'
'cybercafe/cybercafé';'киберкафе/киберкафе'
'cybercrime';'киберпреступность'
'cyberpet';'киберпитомец'
'cyberschool';'кибершкола'
'cyberspace';'киберпространство'
'cyclist';'велосипедист'
'daft';'глупый'
'damn';'проклятие'
'dandelion';'одуванчик'
'darling';'милый'
'dash';'бросаться'
'data';'данные'
'database';'база данных'
'dated';'датированный'
'daughter-in-law';'Невестка'
'dawn';'рассвет'
'daytime';'дневное время'
'de facto';'фактически'
'dear';'дорогой'
'dearly';'дорого'
'debit';'дебет'
'debit card';'дебетовая карта'
'decade';'десятилетие'
'decay';'разлагаться'
'deceive';'обманывать'
'decent';'приличный'
'deceptive';'обманчивый'
'decisive';'решающий'
'deck';'палуба'
'decline';'отклонить'
'decomposition';'разложение'
'decorate';'украшать'
'decoration';'украшение'
'decorative';'декоративный'
'dedication';'преданность'
'deduce';'сделать вывод'
'deduction';'вычет'
'deem';'считать'
'deep';'глубокий'
'deer';'олень'
'defeat';'поражение'
'deficit';'дефицит'
'deforestation';'вырубка лесов'
'defy';'бросать вызов'
'dehumanize/dehumanise';'дегуманизировать/дегуманизировать'
'delegate';'делегат'
'deliberate';'преднамеренный'
'deliberately';'умышленно'
'delicacy';'деликатес'
'delicately';'деликатно'
'delight';'восторг'
'demanding';'требовательный'
'demolish';'снести'
'denim';'джинсовая ткань'
'dense';'плотный'
'densely';'плотно'
'dental';'стоматологический'
'dependable';'надежный'
'deposit';'депозит'
'deputy';'депутат'
'descend';'спуститься'
'descriptive';'описательный'
'designer';'дизайнер'
'desirable';'желательно'
'desire';'желание'
'desktop';'рабочий стол'
'desolation';'запустение'
'desperately';'отчаянно'
'desperation';'отчаяние'
'despise';'презирать'
'destiny';'судьба'
'detach';'подробности'
'detachment';'отряд'
'detailed';'подробный'
'detect';'обнаружить'
'determined';'определенный'
'determiner';'определитель'
'developing';'развивающийся'
'devil';'дьявол'
'devote';'посвящать'
'devoted';'преданный'
'diarrhea/diarrhoea';'диарея/диарея'
'dictator';'диктатор'
'digest';'переваривать'
'dignify';'удостоить'
'dignity';'достоинство'
'dilemma';'дилемма'
'dim';'тусклый'
'dime';'десять центов'
'dimension';'измерение'
'dip';'окунать'
'diphtheria';'дифтерия'
'diploma';'диплом'
'diplomat';'дипломат'
'disappearance';'исчезновение'
'disapproval';'неодобрение'
'disapprove';'не одобрять'
'discharge';'увольнять'
'disciple';'ученик'
'discipline';'дисциплина'
'disconnect';'отключиться'
'discredit';'дискредитировать'
'discriminate';'различать'
'disgrace';'позор'
'disguise';'маскировка'
'dishonesty';'нечестность'
'disillusion';'разочарование'
'dismiss';'увольнять'
'disorder';'беспорядок'
'disorderly';'беспорядочный'
'disorganized/disorganised';'неорганизованный/неорганизованный'
'dispensable';'необязательный'
'displace';'вытеснять'
'displeasure';'недовольство'
'disposal';'утилизация'
'disposition';'расположение'
'dispute';'спор'
'disqualify';'дисквалифицировать'
'disregard';'игнорировать'
'disrupt';'нарушать'
'dissatisfaction';'неудовлетворенность'
'dissatisfied';'неудовлетворенный'
'dissident';'диссидент'
'distinguished';'выдающийся'
'distortion';'искажение'
'distract';'отвлекать'
'distraction';'отвлечение'
'distressing';'тревожный'
'distributor';'распределитель'
'diversion';'отвлечение внимания'
'divert';'отвлекать'
'divided';'разделенный'
'division';'разделение'
'divorce';'развод'
'DNA';'ДНК'
'dock';'док'
'domestic';'одомашненный'
'dominate';'доминировать'
'donate';'пожертвовать'
'donation';'пожертвование'
'donkey';'осел'
'doom';'рок'
'doorkeeper';'привратник'
'doorway';'дверной проем'
'dorm';'общежитие'
'dormitory';'общежитие'
'dose';'доза'
'double';'двойной'
'doubly';'вдвойне'
'doubt';'сомневаться'
'doubtful';'сомнительный'
'dove';'голубь'
'down';'вниз'
'downfall';'падение'
'download';'скачать'
'downsize';'сократить штат'
'dowry';'приданое'
'draft/draught';'черновик/черновик'
'drain';'осушать'
'dramatically';'резко'
'drapery';'драпировки'
'dread';'страх'
'dreadful';'ужасный'
'dreamy';'мечтательный'
'drinkable';'пригодный для питья'
'droop';'свисать'
'dropout';'выбывать'
'drought';'засуха'
'duel';'дуэль'
'dumb';'тупой'
'duplicate';'дубликат'
'duplication';'дублирование'
'dwarf';'карлик'
'dye';'краситель'
'dynamic';'динамичный'
'eagerly';'нетерпеливо'
'eagle';'орел'
'earnings';'заработок'
'ease';'простота'
'eastward';'на восток'
'ecologically';'экологически'
'ecologist';'эколог'
'economical';'экономичный'
'economist';'экономист'
'ecstatic';'экстатический'
'edit';'редактировать'
'editorial';'редакционная статья'
'educated';'образованный'
'educator';'педагог'
'effectively';'эффективно'
'effectiveness';'эффективность'
'elect';'выбирать'
'elective';'факультативный'
'electrician';'электрик'
'electronically';'в электронном виде'
'electronics';'электроника'
'elegance';'элегантность'
'elegant';'элегантный'
'elegantly';'элегантно'
'elemental';'элементарный'
'eligible';'имеющий право'
'elite';'элита'
'eloquence';'красноречие'
'eloquent';'красноречивый'
'embassy';'посольство'
'embrace';'объятие'
'emergence';'появление'
'emphatically';'решительно'
'employ';'нанимать'
'employee';'сотрудник'
'employer';'работодатель'
'encounter';'сталкиваться'
'endeavor/endeavour';'стараться/стараться'
'endlessly';'бесконечно'
'endorse';'одобрять'
'endurance';'выносливость'
'enduring';'прочный'
'energy';'энергия'
'enforce';'обеспечивать соблюдение'
'engagement';'обручение'
'engulf';'поглощать'
'enhance';'усиливать'
'enroll/enrol';'записаться/записаться'
'enterprise';'предприятие'
'entertaining';'развлекательный'
'enthusiastically';'с энтузиазмом'
'entitle';'давать право'
'entrepreneur';'предприниматель'
'environment';'среда'
'environmentally';'экологически'
'environmentally friendly';'экологически чистый'
'envy';'завидовать'
'equal';'равный'
'equation';'уравнение'
'equip';'оборудовать'
'equity';'капитал'
'erect';'возводить'
'erupt';'извергаться'
'eruption';'извержение'
'essayist';'эссеист'
'essentially';'по сути'
'estate';'имущество'
'estimate';'оценивать'
'estimated';'оцененный'
'eternally';'вечно'
'ethic';'этика'
'ethnic';'этнический'
'evacuate';'эвакуируюсь'
'evacuation';'эвакуация'
'evaluate';'оценивать'
'evaluation';'оценка'
'everlasting';'вечный'
'evidently';'очевидно'
'evil';'зло'
'evolution';'эволюция'
'evolve';'эволюционировать'
'exactness';'точность'
'exaggerate';'преувеличивать'
'exaggeration';'преувеличение'
'exalt';'превозносить'
'examinee';'испытуемый'
'exceed';'превосходить'
'excel';'превосходить'
'exception';'исключение'
'exceptional';'исключительный'
'exceptionally';'исключительно'
'excessive';'излишний'
'exclaim';'восклицать'
'exclamation mark';'восклицательный знак'
'exclude';'исключать'
'exclusion';'исключение'
'exclusively';'исключительно'
'excursion';'экскурсия'
'execute';'выполнять'
'execution';'исполнение'
'executive';'исполнительный'
'exhaust';'выхлоп'
'exhausting';'утомительный'
'exhaustion';'истощение'
'exhibit';'выставка'
'exile';'изгнание'
'existing';'существующий'
'exotic';'экзотика'
'expansion';'расширение'
'expectation';'ожидание'
'expected';'ожидал'
'expedition';'экспедиция'
'experiment';'эксперимент'
'expert';'эксперт'
'explode';'взорваться'
'exploit';'эксплуатировать'
'explorer';'исследователь'
'explosive';'взрывчатый'
'export';'экспорт'
'expressive';'выразительный'
'exquisite';'изысканный'
'extension';'расширение'
'extensive';'обширный'
'external';'внешний'
'extract';'извлекать'
'extraordinarily';'необычайно'
'exultant';'ликующий'
'eyebrow';'бровь'
'eyelash';'ресница'
'eyelid';'веко'
'fabric';'ткань'
'fabulous';'поразительнй'
'facilitate';'способствовать'
'facilities';'удобства'
'factor';'фактор'
'faculty';'факультет'
'faint';'слабый'
'faith';'вера'
'falter';'колебаться'
'fame';'слава'
'familiarize/familiarise';'ознакомить/ознакомить'
'fantastically';'фантастически'
'far';'далеко'
'fascinated';'очарованный'
'fascination';'обаяние'
'fat';'толстый'
'fatal';'смертельный'
'fate';'судьба'
'father-in-law';'тесть'
'faulty';'неисправный'
'fear';'страх'
'fearsome';'устрашающий'
'feat';'подвиг'
'feature';'особенность'
'fed up';'сыт по горло'
'federal';'федеральный'
'feedback';'обратная связь'
'fellow';'парень'
'female';'женский'
'ferryboat';'паром'
'fiber/fibre';'волокно/волокно'
'fictional';'вымышленный'
'fierce';'яростный'
'fighting';'борьба'
'figurative';'образный'
'file';'файл'
'filial';'сыновний'
'finance';'финансы'
'financially';'финансово'
'fine';'отлично'
'finely';'мелко'
'fingernail';'ноготь'
'fire';'огонь'
'fire brigade';'пожарная команда'
'firearm';'огнестрельное оружие'
'fireplace';'камин'
'firmness';'твердость'
'first language';'первый язык'
'first person';'первое лицо'
'firstly';'во-первых'
'fiscal';'фискальный'
'fit';'соответствовать'
'fixed';'зафиксированный'
'flame';'пламя'
'flap';'лоскут'
'flash';'вспышка'
'flat';'плоский'
'flaw';'недостаток'
'flawless';'безупречный'
'flax';'лен'
'flee';'бежать'
'fleet';'флот'
'flesh';'плоть'
'flexibility';'гибкость'
'flexible';'гибкий'
'flexibly';'гибко'
'flip';'подбросить'
'fluency';'беглость'
'fluid';'жидкость'
'flutter';'порхать'
'focus';'фокус'
'follower';'последователь'
'following';'следующий'
'folly';'глупость'
'fondly';'нежно'
'foolishly';'глупо'
'footnote';'сноска'
'force';'сила'
'forcefully';'настойчиво'
'foreman';'бригадир'
'foresee';'предвидеть'
'forestry';'лесное хозяйство'
'formation';'формирование'
'formerly';'раньше'
'formidable';'грозный'
'forthcoming';'предстоящий'
'foul';'грязный'
'found';'найденный'
'fox';'лиса'
'fragrance';'аромат'
'frame';'рамка'
'frankly';'честно говоря'
'frantically';'отчаянно'
'fraud';'мошенничество'
'freak';'ненормальный'
'free';'бесплатно'
'friendly';'дружелюбно'
'frigate';'фрегат'
'frontier';'граница'
'frugal';'бережливый'
'fulfill/fulfil';'выполнить/выполнить'
'fume';'дым'
'functional';'функциональный'
'functionality';'функциональность'
'fundamental';'фундаментальный'
'funk';'фанк'
'funky';'фанк'
'furious';'яростный'
'furiously';'яростно'
'furor/furore';'ярость/ярость'
'gaiety';'веселье'
'gambling';'играть в азартные игры'
'gang';'банда'
'gangster';'гангстер'
'gardener';'садовник'
'gasp';'задыхаться'
'gateway';'шлюз'
'gaudy';'яркий'
'gaze';'взгляд'
'gear';'механизм'
'generalization/generalisation';'обобщение/обобщение'
'generalize/generalise';'обобщать/обобщать'
'generosity';'щедрость'
'generously';'щедро'
'genius';'гений'
'genre';'жанр'
'gently';'нежно'
'genuine';'подлинный'
'genuinely';'искренне'
'geographic';'географический'
'germ';'зародыш'
'getaway';'уходи'
'ghetto';'гетто'
'giveaway';'отдавать'
'glacis';'гласис'
'glamorous/glamourous';'гламурный/гламурный'
'glare';'блики'
'gleam';'светиться'
'glee';'ликование'
'global warming';'глобальное потепление'
'globally';'глобально'
'glocal';'глокальный'
'gloomy';'хмурый'
'glorify';'прославлять'
'glow';'светиться'
'goat';'козел'
'god';'бог'
'godly';'благочестивый'
'good';'хороший'
'goodwill';'добрая воля'
'gook';'дурак'
'gorge';'ущелье'
'gossip';'слух'
'governmental';'правительственный'
'gracefulness';'грациозность'
'grade';'оценка'
'gradual';'постепенный'
'grain';'зерно'
'grand';'грандиозный'
'graphically';'графически'
'grasp';'понять'
'gravestone';'надгробие'
'gravitation';'гравитация'
'greatness';'величие'
'grief';'горе'
'grieve';'скорбеть'
'grim';'мрачный'
'grin';'ухмылка'
'grip';'схватить'
'gross';'валовой'
'growing';'растет'
'grown-up';'взрослый'
'guarantee';'гарантия'
'guard';'сторожить'
'guerrilla';'партизан'
'guideline';'ориентир'
'gulp';'глоток'
'gum';'жвачка'
'gunshot';'выстрел'
'guts';'кишки'
'gymnastic';'гимнастический'
'habitant';'житель'
'hail';'град'
'hairy';'волосатый'
'hammer';'молоток'
'handicap';'инвалидность'
'handicraft';'ремесло'
'handout';'раздаточный материал'
'handrail';'поручень'
'hang';'вешать'
'hard drive';'жесткий диск'
'hardware';'аппаратное обеспечение'
'harm';'вред'
'harmless';'безвредный'
'harrow';'борона'
'haste';'спешка'
'hastily';'поспешно'
'hatching';'штриховка'
'haunt';'преследовать'
'haunting';'преследующий'
'hay';'сено'
'hazardous';'опасный'
'headquarters';'штаб-квартира'
'health care';'здравоохранение'
'heap';'куча'
'heartbreaking';'душераздирающий'
'heartwarming/heart-warming';'трогательный / трогательный'
'hedge';'изгородь'
'helicopter';'вертолет'
'hell';'ад'
'helper';'помощник'
'hemp';'конопля'
'herb';'трава'
'heritage';'наследство'
'hesitation';'колебание'
'highlight';'выделять'
'high-tech/hi-tech';'высокие технологии/хай-тек'
'hijack';'угнать'
'hilarious';'веселый'
'hint';'намекать'
'holder';'держатель'
'hollow';'пустой'
'holocaust';'холокост'
'homeward';'домой'
'hone';'оттачивать'
'honor/honour';'честь/честь'
'honorable/honourable';'почетный/почетный'
'hood';'капюшон'
'hook';'крюк'
'hospice';'хоспис'
'hospitable';'гостеприимный'
'hospitality';'гостеприимство'
'hospitalize/hospitalise';'госпитализировать / госпитализировать'
'hourly';'ежечасно'
'housekeeper';'экономка'
'housemaster';'воспитатель'
'housewife';'домохозяйка'
'hover';'зависать'
'hug';'обнимать'
'hugely';'чрезвычайно'
'human rights';'права человека'
'humane';'гуманный'
'humanist';'гуманист'
'humanize/humanise';'очеловечить/очеловечить'
'humble';'скромный'
'humbug';'обман'
'humiliate';'унижать'
'humiliating';'унизительный'
'humiliation';'унижение'
'hunting';'охота'
'hush';'тише'
'hybrid';'гибридный'
'hygiene';'гигиена'
'hyperbole';'гипербола'
'hyphen';'дефис'
'iceman';'ледяной человек'
'icon';'икона'
'icy';'ледяной'
'ideally';'в идеале'
'identical';'идентичный'
'identification';'идентификация'
'identify';'идентифицировать'
'ideology';'идеология'
'idiot';'идиот'
'idle';'праздный'
'idolize/idolise';'боготворить / боготворить'
'ignorance';'невежество'
'ignorant';'невежественный'
'illustrate';'иллюстрировать'
'illustration';'иллюстрация'
'imagery';'образы'
'imitation';'имитация'
'immerse';'погружаться'
'immigrant';'иммигрант'
'immoral';'аморальный'
'immortal';'бессмертный'
'immortality';'бессмертие'
'impartial';'беспристрастный'
'impatiently';'нетерпеливо'
'imperative';'императив'
'impermanent';'непостоянный'
'implement';'осуществлять'
'implication';'импликация'
'imply';'подразумевать'
'impolite';'невежливый'
'impolitely';'невежливо'
'import';'импортировать'
'impose';'навязывать'
'impossibility';'невозможность'
'impractical';'непрактичный'
'impressed';'впечатленный'
'impressionism';'импрессионизм'
'impressionist';'импрессионист'
'imprison';'заключать в тюрьму'
'imprisonment';'тюремное заключение'
'improbable';'маловероятный'
'improperly';'неправильно'
'improved';'улучшенный'
'impulse';'импульс'
'impulsive';'импульсивный'
'inaccurate';'неточный'
'inadequate';'неадекватный'
'inanimate';'неодушевленный'
'inborn';'врожденный'
'incense';'благовония'
'incentive';'стимул'
'inch';'дюйм'
'incur';'понести'
'incurable';'неизлечимый'
'indebted';'в долгу'
