'english_word';'russian_translation'
'tycoon';'магнат'
'launch';'запуск'
'engross';'поглощать'
'engrossing';'увлекательный'
'plague';'чума'
'orphan';'сирота'
'detritus';'детрит'
'detriment';'ущерб'
'detrimental';'вредный'
'detrimentally';'вредно'
'domestically';'внутри страны'
'domesticate';'приручить'
'domestication';'приручение'
'eccentrically';'эксцентрично'
'render';'оказывать'
'rendering';'рендеринг'
'pathos';'пафос'
'tailor';'портные'
'personalize';'персонализировать'
'personalization';'персонализация'
'personification';'олицетворение'
'limitless';'безграничный'
'apprentice';'ученик'
'apprenticeship';'ученичество'
'precision';'точность'
'perfect';'идеальный'
'silhouette';'силуэт'
'nondescript';'невзрачный'
'signal';'сигнал'
'negligible';'незначительный'
'negligent';'небрежный'
'negligently';'небрежно'
'principally';'главным образом'
'altruism';'альтруизм'
'altruistic';'альтруистический'
'scenario';'сценарий'
'voluntary';'добровольный'
'voluntarily';'добровольно'
'reap';'пожинать'
'paternal';'по отцовской линии'
'maternal';'материнский'
'maternalistic';'материнский'
'paternalistic';'патерналистский'
'provisions';'положения'
'injustice';'несправедливость'
'impoverished';'обедневший'
'unsustainable';'неустойчивый'
'unsustainably';'неустойчиво'
'sustainable';'устойчивый'
'sustainably';'устойчиво'
'bypass';'обойти'
'imperative';'императив'
'cynic';'циник'
'cynical';'циничный'
'cynically';'цинично'
'cynicism';'цинизм'
'sarcasm';'сарказм'
'sarcastic';'саркастический'
'sarcastically';'саркастически'
'misplace';'неуместен'
'symptomatic';'симптоматический'
'degrade';'деградировать'
'degrading';'унижающий достоинство'
'degradation';'деградация'
'discourse';'дискурс'
'amid';'среди'
'hedgehog';'ёжик'
'nocturnal';'ночной'
'hibernate';'впадать в спячку'
'hibernation';'спячка'
'convict';'осужденный'
'conviction';'убеждение'
'latent';'скрытый'
'snooze';'вздремнуть'
'classy';'стильный'
'wrench';'гаечный ключ'
'reminisce';'помнить'
'reminiscent';'они помнят'
'intuit';'интуиция'
'intuition';'интуиция'
'intuitive';'интуитивный'
'intuitively';'интуитивно'
'marginal';'маргинальный'
'marginally';'незначительно'
'crude';'сырой'
'crudely';'грубо'
'strap';'ремень'
'strapping';'связывание'
'scoff';'насмехаться'
'fiddly';'неуклюжий'
'fiddler';'скрипач'
'fiddle';'скрипка'
'unmusical';'немузыкальный'
'unmusically';'немузыкально'
'repertory';'репертуар'
'concerto';'концерт'
'premier';'премьер'
'fanatic';'фанатик'
'fanatically';'фанатично'
'acoustically';'акустически'
'acoustic';'акустический'
'acoustics';'акустика'
'compromised';'скомпрометирован'
'daunt';'устрашать'
'daunting';'устрашающий'
'realist';'реалист'
'realism';'реализм'
'recess';'перерыв'
'recessive';'рецессивный'
'prolific';'плодовитый'
'prolifically';'плодовито'
'proliferate';'размножаться'
'fragmentation';'фрагментация'
'campaign';'кампания'
'astray';'сбившийся с пути'
'duration';'продолжительность'
'durable';'прочный'
'likelihood';'вероятность'
'naive';'наивный'
'naively';'наивно'
'naivety';'наивность'
'impervious';'непроницаемый'
'ludicrous';'нелепый'
'ludicrously';'смехотворно'
'cost-effective';'экономически эффективный'
'gruesome';'ужасный'
'gruesomely';'ужасно'
'envisage';'предвидеть'
'screenwriter';'сценарист'
'mingle';'смешиваться'
'churn';'сбивать'
'buffer';'буфер'
'irate';'разгневанный'
'irately';'раздраженно'
'docile';'послушный'
'docilely';'послушно'
'fiend';'злодей'
'fiendish';'дьявольский'
'fiendishly';'дьявольски'
'transfix';'перефиксировать'
'gypsy';'цыган'
'temperament';'темперамент'
'temperamental';'темпераментный'
'temperamentally';'темпераментно'
'screenplay';'сценарий'
'disillusionment';'разочарование'
'demise';'кончина'
'raunchy';'непристойный'
'raunchily';'непристойно'
'overdraft';'овердрафт'
'synopsis';'синопсис'
'renown';'слава'
'contest';'конкурс'
'contested';'оспариваемый'
'verandah';'веранда'
'occupational';'профессиональный'
'verdict';'приговор'
'ventilate';'проветривать'
'ventilation';'вентиляция'
'occupant';'обитатель'
'radiator';'радиатор'
'homely';'домашний'
'bureaucratic';'бюрократический'
'bureaucratically';'бюрократически'
'adjustable';'регулируемый'
'fatigue';'усталость'
'muscular';'мускулистый'
'versatile';'универсальный'
'versatility';'универсальность'
'stimuli';'стимулы'
'uninspiring';'скучный'
'mutually';'взаимно'
'somber/sombre';'мрачный'
'somberly';'мрачно'
'clutter';'беспорядок'
'lodge';'домик'
'dislodge';'вытеснять'
'carpenter';'плотник'
'carpentry';'столярное дело'
'transit';'транзит'
'plummet';'слива'
'circulate';'распространять'
'circulation';'обращение'
'demography';'демография'
'demographic';'демографический'
'demographically';'демографически'
'phenomenal';'феноменальный'
'phenomenally';'феноменально'
'prophet';'пророк'
'prophetic';'пророческий'
'paywall';'платный доступ'
'firewall';'брандмауэр'
'invoice';'счет'
'demolition';'снос'
'demo';'демо'
'gig';'концерт'
'socialization';'социализация'
'antiquity';'древность'
'antiquated';'устаревший'
'restoration';'восстановление'
'restorative';'восстановительный'
'rotate';'вращать'
'till';'до'
'coupled';'соединенный'
'itinerary';'маршрут'
'charter';'устав'
'terrain';'местность'
'resilient';'устойчивый'
'resilience';'устойчивость'
'enterprising';'предприимчивый'
'integral';'интеграл'
'canoe';'каноэ'
'magnetic';'магнитный'
'magnetism';'магнетизм'
'magnetically';'магнитно'
'credible';'заслуживающий доверия'
'credibly';'достоверно'
'credibility';'авторитет'
'credential';'полномочия'
'acutely';'остро'
'prohibitive';'непомерно высокий'
'prohibitively';'непомерно'
'fissure';'трещина'
'pendulous';'висячий'
'suspension';'приостановка'
'aboard';'на борту'
'drill';'сверлить'
'anthropology';'антропология'
'anthropologist';'антрополог'
'squander';'транжирить'
'munch';'жевать'
'adjoin';'примыкать'
'adjoining';'прилегающий'
'wizened';'высохший'
'graft';'взяточничество'
'orchard';'фруктовый сад'
'seedling';'рассада'
'tract';'тракт'
'folktale';'сказка'
'sprout';'росток'
'hypocrisy';'лицемерие'
'hypocrite';'лицемер'
'hypocritical';'лицемерный'
'hypocritically';'лицемерно'
'midwife';'акушерка'
'harvest';'урожай'
'commercially';'коммерчески'
'uniformity';'единообразие'
'numb';'онемевший'
'tastebud';'ключевая команда'
'amateur';'любитель'
'retrace';'проследить'
'chart';'диаграмма'
'insubordinate';'непокорный'
'insubordination';'неповиновение'
'insubordinately';'непокорно'
'subordinate';'подчиненный'
'primitively';'примитивно'
'embark';'отправляться в путь'
'expedite';'ускорить'
'contextual';'контекстуальный'
'contextually';'контекстуально'
'whilst';'пока'
'maneuver';'маневр'
'riveting';'захватывающий'
'plunge';'погружаться'
'debut';'дебют'
'turmoil';'смятение'
'scathing';'резкий'
'unscathing';'невредимый'
'convoluted';'запутанный'
'undaunted';'неустрашимый'
'gutsy';'бесстрашный'
'deprivation';'лишение'
'farce';'фарс'
'portray';'изображать'
'portrayal';'изображение'
'elusive';'неуловимый'
'elude';'ускользать'
'incisor';'резец'
'incision';'разрез'
'chisel';'долото'
'chiselled';'точеный'
'gnaw';'грызть'
'elongate';'удлинять'
'telltale';'счетная речь'
'cavity';'полость'
'rustle';'шелестеть'
'glean';'подбирать'
'niche';'ниша'
'somersault';'сальто'
'exhilarate';'веселить'
'exhilarating';'волнующий'
'exhilaration';'возбуждение'
'physicality';'телесность'
'hack';'взломать'
'lust';'похоть'
'unsettling';'тревожный'
'unsettle';'тревожить'
'suburban';'пригородный'
'suburbia';'пригород'
'dramatist';'драматург'
'characterization';'характеристика'
'quirky';'причудливый'
'sprawl';'разрастаться'
'ingenuity';'изобретательность'
'panorama';'панорама'
'panoramic';'панорамный'
'benign';'доброкачественный'
'benignly';'доброжелательно'
'explosively';'взрывоопасно'
'bequeath';'завещать'
'legacy';'наследие'
'synthetic';'синтетический'
'synthetically';'синтетически'
'lackluster';'тусклый'
'elastic';'эластичный'
'appal';'ужасать'
'appalling';'ужасающий'
'appallingly';'ужасно'
'pounce';'внезапно атаковать'
'abound';'изобилуют'
'sap';'истощать'
'monotonous';'монотонный'
'monotonously';'монотонно'
'monotony';'монотонность'
'turn to';'обратиться к'
'ingenious';'гениальный'
'plaque';'бляшка'
'neutralize';'нейтрализовать'
'neutralization';'нейтрализация'
'salivate';'выделять слюну'
'cessation';'прекращение'
'remorse';'раскаяние'
'remorseless';'безжалостный'
'remorsefully';'с сожалением'
'remorselessly';'безжалостно'
'inexcusable';'непростительный'
'inexcusably';'непростительно'
'unassisted';'без посторонней помощи'
'heighten';'повысить'
'fixture';'приспособление'
'bulk';'масса'
'bulky';'громоздкий'
'bulk up';'набрать массу'
'digitalize';'оцифрованный'
'digitalization';'цифровизация'
'mark-up';'наценка'
'complementary';'дополнительный'
'complimentary';'бесплатный'
'staple';'штапель'
'wares';'товары'
'testament';'завещание'
'succulent';'сочный'
'succulently';'сочно'
'tranquil';'спокойный'
'tranquility';'спокойствие'
'spartan';'спартанский'
'peninsula';'полуостров'
'billiards';'бильярд'
