'english_word';'russian_translation'
'annually';'ежегодно'
'ant';'муравей'
'anti';'анти'
'antique';'античный'
'antonym';'антоним'
'anxiety';'беспокойство'
'anxiously';'с тревогой'
'anyhow';'в любом случае'
'ape';'обезьяна'
'apology';'извинение'
'apparent';'очевидный'
'appeal';'обращаться'
'appetite';'аппетит'
'applaud';'аплодировать'
'applause';'аплодисменты'
'application';'приложение'
'appoint';'назначать'
'appreciation';'признательность'
'approach';'подход'
'approval';'одобрение'
'approve';'утвердить'
'approximately';'примерно'
'architect';'архитектор'
'arise';'возникать'
'arithmetic';'арифметика'
'arm';'рука'
'army';'армия'
'arrange';'договариваться'
'arrangement';'договоренность'
'arrest';'арестовать'
'arrival';'прибытие'
'arrow';'стрелка'
'artist';'художник'
'artistic';'художественный'
'ashamed';'стыдящийся'
'aside';'в сторону'
'aspect';'аспект'
'aspirin';'аспирин'
'assign';'назначать'
'assignment';'назначение'
'assist';'помогать'
'assistance';'помощь'
'assistant';'помощник'
'associate';'партнер'
'assume';'предполагать'
'astronomer';'астроном'
'athletic';'спортивный'
'Atlantic';'Атлантический'
'atmosphere';'атмосфера'
'atomic';'атомный'
'attach';'прикреплять'
'attachment';'вложение'
'attain';'достичь'
'attempt';'пытаться'
'attend';'посещать'
'attract';'привлекать'
'attraction';'аттракцион'
'authority';'власть'
'auxiliary';'вспомогательный'
'available';'доступный'
'avenue';'проспект'
'award';'награда'
'aware';'осведомленный'
'awareness';'осведомленность'
'awesome';'потрясающий'
'awkward';'неуклюжий'
'babysit';'присмотр за детьми'
'babysitter';'няня'
'back';'назад'
'backache';'боль в спине'
'backpack';'рюкзак'
'backpacker';'турист'
'backpacking';'пеший туризм'
'bacon';'бекон'
'baggage';'Багаж'
'baker';'пекарь'
'bakery';'пекарня'
'balance';'баланс'
'bald';'лысый'
'bandage';'повязка'
'bang';'хлопнуть'
'bank account';'банковский счет'
'bar';'бар'
'barbecue';'барбекю'
'bare';'голый'
'barely';'едва'
'bark';'лаять'
'barman';'бармен'
'barrel';'бочка'
'base';'база'
'basement';'подвал'
'basin';'бассейн'
'basis';'основа'
'bat';'летучая мышь'
'bathe';'купаться'
'battle';'боевой'
'beard';'борода'
'beast';'зверь'
'beat';'бить'
'beautifully';'красиво'
'beaver';'бобер'
'because of';'из-за'
'bedside';'у кровати'
'behalf';'от имени'
'behave';'вести себя'
'belief';'вера'
'beloved';'возлюбленный'
'beneath';'под'
'benefit';'выгода'
'bent';'согнутый'
'besides';'кроме'
'bet';'ставка'
'bilingual';'двуязычный'
'bill';'счет'
'bin';'мусорное ведро'
'biochemistry';'биохимия'
'biography';'биография'
'biology';'биология'
'bishop';'епископ'
'bite';'кусать'
'bitter';'горький'
'blame';'обвинять'
'bleed';'истекать кровью'
'blend';'смешивать'
'bless';'благословить'
'blessing';'благословение'
'blind';'слепой'
'block';'блокировать'
'blog';'блог'
'blogger';'блоггер'
'blush';'краснеть'
'board';'доска'
'boast';'хвастаться'
'bold';'смелый'
'boldly';'смело'
'bomb';'бомбить'
'bond';'связь'
'book';'книга'
'booking';'бронирование'
'boom';'бум'
'boot';'ботинок'
'border';'граница'
'bore';'бурить'
'boredom';'скука'
'bother';'беспокоить'
'bounce';'подпрыгивать'
'bound';'граница'
'bow';'поклон'
'bowl';'чаша'
'boxing';'бокс'
'bracelet';'браслет'
'brainstorming';'мозговой штурм'
'branch';'ветвь'
'brand-new';'совершенно новый'
'brass';'латунь'
'bravely';'смело'
'breakthrough';'прорыв'
'breast';'грудь'
'breath';'дыхание'
'breathless';'задыхающийся'
'breed';'порода'
'breeding';'разведение'
'brick';'кирпич'
'brief';'краткий'
'briefly';'кратко'
'brightly';'ярко'
'broad';'широкий'
'broadcast';'транслировать'
'broccoli';'брокколи'
'bronze';'бронза'
'brotherhood';'братство'
'bubble';'пузырь'
'buddy';'приятель'
'builder';'строитель'
'bull';'бык'
'bullet';'пуля'
'bulletin';'бюллетень'
'bump';'ударяться'
'bunch';'связка'
'burden';'груз'
'bureau';'бюро'
'burglar';'грабитель'
'burn';'гореть'
'burning';'горящий'
'burst';'лопаться'
'bust';'бюст'
'but';'но'
'butcher';'мясник'
'buyer';'покупатель'
'cabbage';'капуста'
'cabin';'каюта'
'cage';'клетка'
'calculate';'вычислить'
'calculation';'расчет'
'calculator';'калькулятор'
'calf';'теленок'
'caller';'звонящий'
'calm';'спокойствие'
'calmness';'спокойствие'
'camel';'верблюд'
'campsite';'кемпинг'
'canal';'канал'
'cancel';'отмена'
'cancer';'рак'
'candle';'свеча'
'canned';'консервированный'
'canteen';'столовая'
'capable';'способный'
'capacity';'емкость'
'capsule';'капсула'
'capture';'захватывать'
'care';'забота'
'career';'карьера'
'careless';'беспечный'
'carelessly';'небрежно'
'carelessness';'небрежность'
'carpet';'ковер'
'carriage';'перевозка'
'carton';'коробка'
'cashpoint';'банкоматы'
'casual';'повседневный'
'categorize';'классифицировать'
'category';'категория'
'cattle';'крупный рогатый скот'
'caution';'осторожность'
'cautious';'осторожный'
'cave';'пещера'
'CD-ROM';'компакт-диск'
'celebrity';'знаменитость'
'cell';'клетка'
'central';'центральный'
'central heating';'центральное отопление'
'ceremony';'церемония'
'certainty';'уверенность'
'challenging';'испытывающий'
'champion';'чемпион'
'channel';'канал'
'chaos';'хаос'
'characteristic';'характеристика'
'characterize';'охарактеризовать'
'charge';'заряжать'
'chariot';'колесница'
'charity';'благотворительность'
'charm';'очарование'
'chase';'гнаться'
'chat';'чат'
'chat show';'ток-шоу'
'check-in counter';'стойка регистрации'
'checkout';'проверить'
'cheerful';'жизнерадостный'
'chemical';'химический'
'chemist';'химик'
'chemistry';'химия'
'cherish';'ценить'
'chest of drawers';'комод'
'chewing gum';'жевательная резинка'
'chief';'главный'
'choir';'хор'
'choke';'душить'
'Christian';'христианин'
'chronological';'хронологический'
'chuckle';'смеяться'
'circle';'круг'
'circular';'круговой'
'circus';'цирк'
'citizenship';'гражданство'
'civil';'гражданский'
'civilization';'цивилизация'
'claim';'требовать'
'classical';'классический'
'classify';'классифицировать'
'clear';'прозрачный'
'click';'щелкнуть'
'cliff';'утес'
'climate';'климат'
'climber';'альпинист'
'clinic';'клиника'
'clip';'клип'
'closely';'внимательно'
'coal';'уголь'
'coast';'побережье'
'coastal';'прибрежный'
'cod';'треска'
'coffin';'гроб'
'collapse';'крах'
'collar';'воротник'
'columnist';'обозреватель'
'combination';'комбинация'
'combine';'объединить'
'comedian';'комик'
'comedy';'комедия'
'comet';'комета'
'comfort';'комфорт'
'comma';'запятая'
'command';'команда'
'comment';'комментарий'
'commercial';'коммерческий'
'commit';'совершить'
'common sense';'здравый смысл'
'commonly';'обычно'
'companion';'компаньон'
'comparison';'сравнение'
'compete';'конкурировать'
'competitive';'конкурентоспособный'
'competitor';'конкурент'
'complement';'дополнять'
'complete';'полный'
'completely';'полностью'
'complex';'сложный'
'complicate';'усложнять'
'complicated';'сложный'
'compliment';'комплимент'
'compose';'сочинять'
'composition';'композиция'
'compound';'сложный'
'compromise';'компромисс'
'concentration';'концентрация'
'concept';'концепция'
'concerned';'обеспокоенный'
'conclude';'заключать'
'conclusion';'заключение'
'conduct';'руководить'
'confidence';'уверенность'
'confirm';'подтверждать'
'confirmation';'подтверждение'
'conflict';'конфликт'
'confusing';'сбивающий с толку'
'confusion';'путаница'
'congratulate';'поздравлять'
'connect';'соединять'
'connection';'соединение'
'conquer';'завоевывать'
'conscious';'сознательный'
'consequently';'следовательно'
'conservation';'сохранение'
'conservative';'консервативный'
'considerable';'значительный'
'consideration';'рассмотрение'
'consonant';'согласный'
'constantly';'постоянно'
'constitute';'составляют'
'constitution';'конституция'
'construct';'построить'
'construction';'строительство'
'consume';'потреблять'
'consumer';'потребитель'
'consumption';'потребление'
'contain';'содержать'
'content';'содержание'
'continual';'постоянный'
'continually';'постоянно'
'continuous';'непрерывный'
'continuously';'постоянно'
'contrary';'вопреки'
'contribute';'способствовать'
'contribution';'вклад'
'control';'контроль'
'controversial';'спорный'
'convey';'передавать'
'convince';'убеждать'
'copyright';'авторское право'
'correction';'исправление'
'cotton';'хлопок'
'cough';'кашель'
'council';'совет'
'counseling';'консультирование'
'count';'считать'
'counter';'прилавок'
'countless';'бесчисленное множество'
'county';'графство'
'courage';'храбрость'
'courageous';'смелый'
'courgette';'кабачок'
'craft';'ремесло'
'crash';'крушение'
'creator';'создатель'
'criminal';'преступник'
'crisis';'кризис'
'critic';'критик'
'critical';'критический'
'crop';'обрезать'
'crossing';'пересечение'
'crossroads';'перекресток'
'crow';'ворона'
'cruel';'жестокий'
'crush';'раздавить'
'cucumber';'огурец'
'cultivate';'культивировать'
'cultural';'культурный'
'cure';'излечивать'
'curiosity';'любопытство'
'curious';'любопытный'
'curiously';'любопытно'
'curly';'кудрявый'
'currency';'валюта'
'current';'текущий'
'currently';'в настоящее время'
'curriculum';'учебный план'
'curtain';'занавес'
'curve';'изгиб'
'cushion';'подушка'
'customs';'таможня'
'cut';'резать'
'CV';'резюме'
'cycle';'цикл'
'daisy';'маргаритка'
'damage';'повреждать'
'damaged';'поврежден'
'damp';'влажный'
'dangerously';'опасно'
'dare';'осмелиться'
'darkness';'темнота'
'date';'дата'
'dating';'встречаться'
'daze';'ошеломить'
'dazzle';'ослеплять'
'deadline';'крайний срок'
'deadly';'смертоносный'
'deaf';'глухой'
'deal';'иметь дело'
'dealer';'дилер'
'debris';'обломки'
'debt';'долг'
'decision';'решение'
'declaration';'декларация'
'declare';'объявить'
'decline';'отклонить'
'decrease';'снижаться'
'dedicate';'посвящать'
'deed';'поступок'
'defeat';'поражение'
'defend';'защищать'
'defender';'защитник'
'defense';'защита'
'deficiency';'недостаток'
'define';'определять'
'definite';'определенный'
'definite article';'определенный артикль'
'definitely';'определенно'
'definition';'определение'
'delay';'задерживать'
'delete';'удалить'
'delicate';'нежный'
'delight';'восторг'
'delighted';'получивший удовольствие'
'delightful';'восхитительный'
'deliver';'доставлять'
'delivery';'доставка'
'demand';'требовать'
'democracy';'демократия'
'democratic';'демократический'
'demonstrate';'демонстрировать'
'demonstration';'демонстрация'
'deny';'отрицать'
'depart';'уйти'
'department';'отделение'
'departure';'отправление'
'dependent';'зависимый'
'deposit';'депозит'
'depressed';'депрессивный'
'depressing';'удручающий'
'depression';'депрессия'
'deprive';'лишать'
'depth';'глубина'
'derive';'вывести'
'deserve';'заслуживать'
'design';'дизайн'
'designer';'дизайнер'
'desire';'желание'
'despair';'отчаяние'
'desperate';'отчаянный'
'despite';'несмотря на'
'destination';'место назначения'
'destruction';'разрушение'
'destructive';'разрушительный'
'detective';'детектив'
'determination';'определение'
'determine';'определять'
'devastate';'опустошать'
'devastating';'разрушительный'
'development';'разработка'
'device';'устройство'
'devotion';'преданность'
'diagram';'диаграмма'
'dial';'набирать номер'
'dialog';'диалог'
'diameter';'диаметр'
'diaper';'подгузник'
'differ';'отличаться'
'dig';'копать'
'digital';'цифровой'
'diligence';'усердие'
'diligent';'прилежный'
'dioxide';'диоксид'
'direct';'прямой'
'directly';'напрямую'
'dirt';'грязь'
'disability';'инвалидность'
'disable';'запрещать'
'disabled';'неполноценный'
'disagreement';'несогласие'
'disappoint';'разочаровывать'
'disappointment';'разочарование'
'disaster';'катастрофа'
'disastrous';'катастрофический'
'disc jockey';'диск-жокей'
'discomfort';'дискомфорт'
'discount';'скидка'
'discourage';'обескураживать'
'discovery';'открытие'
'discrimination';'дискриминация'
'disease';'болезнь'
'disgusting';'отвратительный'
'dishwasher';'посудомоечная машина'
'disk/disc';'диск/диск'
'dislike';'не нравится'
'display';'отображать'
'dissolve';'растворяться'
'distance';'расстояние'
'distant';'далекий'
'distinction';'различие'
'distinctly';'отчетливо'
'distinguish';'различать'
'distribute';'распространять'
'distribution';'распределение'
'district';'округ'
'disturbance';'нарушение'
'dive';'нырять'
'diver';'дайвер'
'diverse';'разнообразный'
'divide';'разделять'
'divine';'божественный'
'diving';'дайвинг'
'divorced';'в разводе'
'DJ';'диджей'
'doc';'док'
'document';'документ'
'documentary';'документальный фильм'
'dolphin';'дельфин'
'dot';'точка'
'downstairs';'внизу'
'downward';'вниз'
'doze';'дремать'
'dozen';'дюжина'
'drag';'тащить'
'dramatic';'драматический'
'drown';'тонуть'
'drunk';'пьяный'
'dude';'чувак'
'dull';'тупой'
'dump';'свалка'
'dustbin';'мусорный ящик'
'dusty';'пыльный'
'duty';'долг'
'duty-free';'беспошлинно'
'duvet';'пуховое одеяло'
'dynasty';'династия'
'eager';'жаждущий'
'eagerness';'рвение'
'earache';'боль в ухе'
'earnest';'серьезный'
'eastern';'восточный'
'easygoing';'легкий на подъем'
'eco';'эко'
'ecological';'экологический'
'ecology';'экология'
'economic';'экономический'
'economics';'экономика'
'economy';'экономика'
'ecosystem';'экосистема'
'ecstasy';'экстази'
'edge';'край'
'edition';'версия'
'educate';'обучать'
'effective';'эффективный'
'efficiency';'эффективность'
'efficient';'эффективный'
'either';'или'
'elbow';'локоть'
'election';'выборы'
'electrical';'электрический'
'electricity';'электричество'
'electron';'электрон'
'electronic';'электронный'
'element';'элемент'
'eliminate';'устранять'
'embarrass';'смущать'
'embarrassed';'смущенный'
'embarrassment';'смущение'
'emerge';'появляться'
'emotion';'эмоция'
'emotional';'эмоциональный'
'emotionally';'эмоционально'
'emperor';'император'
'emphasis';'акцент'
'emphasize';'подчеркивать'
'empire';'империя'
'employment';'работа'
'enable';'давать возможность'
'enclose';'заключать'
'encounter';'сталкиваться'
'encouragement';'поощрение'
'encouraging';'обнадеживающий'
'encyclopedia';'энциклопедия'
'endanger';'подвергать опасности'
'endless';'бесконечный'
'endure';'терпеть'
'enemy';'враг'
'engage';'привлекать'
'engaged';'помолвлен'
'engine';'двигатель'
'engineering';'инженерия'
'Englishman';'англичанин'
'enjoyable';'приятный'
'enjoyment';'удовольствие'
'enrich';'обогащать'
'ensure';'гарантировать'
'entertain';'развлекать'
'entertainer';'артист'
'enthusiasm';'энтузиазм'
'enthusiast';'энтузиаст'
'enthusiastic';'восторженный'
'entire';'весь'
'entirely';'полностью'
'entry';'вход'
'environmental';'относящийся к окружающей среде'
'environmentalist';'эколог'
'equal';'равный'
'equality';'равенство'
'equally';'поровну'
'equipment';'оборудование'
'era';'эпоха'
'escape';'побег'
'essence';'сущность'
'essential';'существенный'
'establishment';'учреждение'
'estimate';'оценивать'
'eternal';'вечный'
'eternity';'вечность'
'even';'даже'
'evenly';'равномерно'
'eventually';'в конце концов'
'evident';'очевидный'
'exact';'точный'
'examination';'обследование'
'examine';'исследовать'
'examiner';'экзаменатор'
'excellence';'превосходство'
'excess';'избыток'
'exchange';'обмен'
'exchange rate';'обменный курс'
'excitedly';'взволнованно'
'excitement';'возбуждение'
'exclusive';'эксклюзивный'
'excuse';'извинение'
'exhausted';'измученный'
'existence';'существование'
'exit';'Выход'
'expand';'расширять'
'expense';'расходы'
'experience';'опыт'
'experienced';'опытный'
'experiment';'эксперимент'
'exploration';'разведка'
'explosion';'взрыв'
'expose';'разоблачать'
'express';'выражать'
'extend';'продлевать'
'extensively';'широко'
'extent';'степень'
'extinct';'вымерший'
'extinction';'вымирание'
'extra';'дополнительный'
'extraordinary';'необыкновенный'
'extreme';'крайний'
'extreme sports';'экстремальные виды спорта'
'eyesight';'зрение'
'face to face';'лицом к лицу'
'face-to-face';'лицом к лицу'
'facility';'средство'
'fade';'тускнеть'
'failure';'отказ'
'faint';'слабый'
'fair';'справедливый'
'faithful';'верный'
'fake';'фальшивый'
'fall';'падать'
'fallen';'упал'
'fancy';'изысканный'
'fantasy';'фантастика'
'faraway';'далеко'
'farewell';'прощание'
'farming';'сельское хозяйство'
'farmland';'сельскохозяйственные угодья'
'farther';'дальше'
'farthest';'самый дальний'
'fascinate';'очаровывать'
'fashionable';'модный'
'fasten';'закрепить'
'favorable';'благоприятный'
'fax';'факс'
'feast';'праздник'
'feed';'кормить'
'fellow';'парень'
'ferry';'перевозить'
'festive';'праздничный'
'fetch';'принести'
'feverishly';'лихорадочно'
'few';'немного'
'fifth';'пятый'
'fight';'драться'
'filling';'наполнение'
'film';'фильм'
'film-maker';'кинорежиссер'
'filter';'фильтр'
'finance';'финансы'
'financial';'финансовый'
'finding';'нахождение'
'fine';'отлично'
'finger';'палец'
'fire station';'пожарная станция'
'firefighter';'пожарный'
'firework';'фейерверк'
'firm';'твердый'
'firmly';'твердо'
'first floor';'первый этаж'
'first lady';'первая леди'
'first-floor';'первый этаж'
'fish';'рыба'
'fit';'соответствовать'
'fitness';'фитнес'
'fix';'исправить'
'flash';'вспышка'
'flat';'плоский'
'flavor/flavour';'вкус/вкус'
'float';'плавать'
'flock';'стадо'
'flood';'наводнение'
'flow';'поток'
'flu';'грипп'
'fluent';'беглый'
'fluently';'бегло'
'flunk';'провалиться'
'flute';'флейта'
'fold';'складывать'
'folk';'народный'
'fond';'любящий'
'fondness';'нежность'
'fool';'дурак'
'foolish';'глупый'
'foot';'ступня'
'forbidden';'запрещенный'
'forecast';'прогноз'
'forehead';'лоб'
'forgive';'простить'
'form';'форма'
'formal';'формальный'
'formally';'формально'
'format';'формат'
'former';'бывший'
'formula';'формула'
'forth';'вперед'
'fortnight';'две недели'
'fortunate';'удачливый'
'foundation';'фундамент'
'fountain';'фонтан'
'fragment';'фрагмент'
'freely';'свободно'
'freezer';'морозильник'
'freezing';'замораживание'
'frequency';'частота'
'frequent';'частый'
'frequently';'часто'
'freshman';'первокурсник'
'friendliness';'дружелюбие'
'fright';'испуг'
'frost';'мороз'
'frozen';'замороженный'
'frustrated';'расстроенный'
'frustration';'разочарование'
'fry';'жарить'
'frying pan';'сковорода'
'fuel';'топливо'
'full stop';'точка'
'full-time';'на постоянной основе'
'function';'функция'
'fund';'фонд'
'funeral';'похороны'
'fur';'шерсть'
'furnish';'снабжать'
'further';'дальше'
'furthermore';'более того'
'furthest';'самый дальний'
'fuss';'суматоха'
'future';'будущее'
'gain';'прирост'
'gall';'желчь'
'gallon';'галлон'
'gap';'зазор'
'gardening';'садоводство'
'garment';'одежда'
'gay';'гей'
'gee';'ну и дела'
'gene';'ген'
'general';'общий'
'generally';'в целом'
'generate';'генерировать'
'generous';'щедрый'
'genetic';'генетический'
'genetically';'генетически'
'genetics';'генетика'
'gentleman';'джентльмен'
'geographical';'географический'
'geography';'география'
'geology';'геология'
'gesture';'жест'
'giant';'гигант'
'gifted';'одаренный'
'giggle';'хихикать'
'ginger';'имбирь'
'giraffe';'жирафа'
'glance';'взглянуть мельком'
'glide';'скользить'
'glimpse';'случайно заметить'
'glint';'блеск'
'global';'глобальный'
'glorious';'славный'
'glory';'слава'
'go';'идти'
'goalkeeper';'вратарь'
'goddess';'богиня'
'golfer';'игрок в гольф'
'goodness';'доброта'
'goods';'товары'
'gorgeous';'великолепный'
'gorilla';'горилла'
'gossip';'слух'
'govern';'управлять'
'governor';'губернатор'
'gown';'платье'
'grab';'схватить'
'graceful';'изящный'
'graduate';'выпускник'
'graduation';'выпускной'
'grant';'предоставить'
'graph';'график'
'graphic';'графика'
'graphics';'графика'
'gratitude';'благодарность'
'grave';'могила'
'gravy';'подливка'
'greenhouse';'теплица'
'greeting';'приветствие'
'grill';'гриль'
'groom';'жених'
'ground floor';'первый этаж'
'group';'группа'
'grouping';'группировка'
'growth';'рост'
'guarantee';'гарантия'
'guess';'предполагать'
'guidance';'руководство'
'guide';'гид'
'guilt';'вина'
'guilty';'виновный'
'guitarist';'гитарист'
'gym';'спортзал'
'gymnastics';'гимнастика'
'habitat';'среда обитания'
'hairdresser';'парикмахер'
'hairdryer';'фен'
'half';'половина'
'hammer';'молоток'
'handball';'гандбол'
'hand-held';'портативный'
'handkerchief';'носовой платок'
'handle';'ручка'
'handshake';'рукопожатие'
'handwriting';'почерк'
'handy';'удобный'
'hang';'вешать'
'hanging';'висит'
'harbor/harbour';'гавань/гавань'
'hardship';'трудности'
'hard-working';'трудолюбивый'
'harness';'обуздать'
'hasty';'поспешный'
'hatch';'люк'
'hate';'ненавидеть'
'hatred';'ненависть'
'haunt';'преследовать'
'haven';'убежище'
'hazard';'опасность'
'headline';'заголовок'
'heal';'лечить'
'healing';'выздоровление'
'hearing';'слушание'
'heart attack';'острое сердечно-сосудистое заболевание'
'hearted';'сердечный'
'hearty';'сердечный'
'heat';'нагревать'
'heater';'обогреватель'
'heaven';'небеса'
'heavenly';'небесный'
'heel';'каблук'
'height';'высота'
'helmet';'шлем'
'helpless';'беспомощный'
'herd';'стадо'
'hesitate';'сомневаться'
'hidden';'скрытый'
'highlight';'выделять'
'highly';'высоко'
'hip';'бедро'
'hire';'нанимать'
'historian';'историк'
'historic';'исторический'
'historical';'исторический'
'hit';'ударять'
'HIV';'ВИЧ'
'holy';'святой'
'homeless';'бездомный'
'honest';'честный'
'honestly';'честно'
'honesty';'честность'
'honeymoon';'медовый месяц'
'hop';'прыгать'
'hope';'надеяться'
'hopeful';'обнадеживающий'
'hopefully';'с надеждой'
'hopeless';'безнадежный'
'horizon';'горизонт'
'horn';'рог'
'horrible';'ужасный'
'horrify';'ужасать'
'hostel';'общежитие'
'household';'семья'
'housework';'работа по дому'
'huge';'огромный'
'human';'человек'
'humanity';'человечество'
'humid';'влажный'
'humor';'юмор'
'humorous';'юмористический'
'hunger';'голод'
'hunt';'охотиться'
'hurriedly';'поспешно'
'hurt';'повредить'
'hut';'хижина'
'ice hockey';'хоккей с шайбой'
'ice skating';'катание на коньках'
'identity';'личность'
'identity card';'удостоверение личности'
'idiom';'идиома'
'idol';'идол'
'ignore';'игнорировать'
'illegally';'незаконно'
'illness';'болезнь'
'illuminate';'освещать'
'imaginary';'воображаемый'
'imitate';'подражать'
'immediate';'немедленный'
'immediately';'немедленно'
'immigrate';'иммигрировать'
'immigration';'иммиграция'
'impair';'ухудшать'
'impression';'впечатление'
'impressive';'впечатляющий'
'improper';'неправильный'
'improvement';'улучшение'
'incident';'инцидент'
'including';'включая'
'income';'доход'
'inconvenient';'неудобный'
'incorrect';'неправильный'
'increase';'увеличивать'
'increasingly';'все больше'
'incredible';'невероятный'
'incredibly';'невероятно'
'indefinite article';'неопределенный артикль'
'independent';'независимый'
'indirect';'косвенный'
'indirectly';'косвенно'
'individual';'индивидуальный'
'indoors';'в помещении'
'industrial';'промышленный'
'industry';'промышленность'
'inevitable';'неизбежный'
'infection';'инфекция'
'infinitive';'инфинитив'
'inform';'информировать'
'informative';'информативный'
'ingredient';'ингредиент'
'inhabitant';'они населяют'
'inhale';'вдыхать'
'initial';'исходный'
'initially';'изначально'
'inject';'вводить'
'injury';'рана'
'ink';'чернила'
'innermost';'сокровенный'
'innocent';'невиновный'
'innovator';'новатор'
'inquiry/enquiry';'запрос/запрос'
'insane';'безумный'
'inscribe';'вписывать'
'inscription';'надпись'
'insight';'понимание'
'insist';'настаивать'
'inspection';'инспекция'
'inspire';'вдохновлять'
'install';'установить'
'instance';'пример'
'instead of';'вместо'
'institute';'институт'
'instruction';'инструкция'
'instructor';'инструктор'
'insurance';'страхование'
'intend';'намереваться'
'intense';'интенсивный'
'intensive';'интенсивный'
'intention';'намерение'
'intentionally';'намеренно'
'interact';'взаимодействовать'
'interaction';'взаимодействие'
'interest';'интерес'
'intermediate';'средний'
'intermission';'антракт'
'internal';'внутренний'
'internationally';'на международном уровне'
'interrupt';'прерывать'
'interval';'интервал'
'interview';'интервью'
'interviewee';'собеседник'
'introduction';'введение'
'invasion';'вторжение'
'invest';'инвестировать'
'investigation';'расследование'
'invitation';'приглашение'
'involuntarily';'непроизвольно'
'involve';'вовлекать'
'involved';'вовлеченный'
'iron';'железо'
'ironing';'глажка'
'irregular';'нерегулярный'
'irritate';'раздражать'
'isle';'остров'
'isolation';'изоляция'
'ivory';'слоновая кость'
'jade';'нефрит'
'jail';'тюрьма'
'jar';'банка'
'jazz';'джаз'
'jealous';'ревнивый'
'jewel';'драгоценность'
'jog';'бегать трусцой'
'jogging';'бег трусцой'
'joint';'соединение'
'joke';'шутить'
'journal';'журнал'
'journalist';'журналист'
'judge';'судить'
'judgment';'постановление'
'jug';'кувшин'
'juicy';'сочный'
'jumper';'джемпер'
'jungle';'джунгли'
'justice';'справедливость'
'kettle';'чайник'
'keyboard';'клавиатура'
'kid';'ребенок'
'killing';'убийство'
'kindly';'любезно'
'kindness';'доброта'
'kiss';'целовать'
'kitten';'котенок'
'knit';'вязать'
'knock';'стучать'
'lab';'лаборатория'
'laboratory';'лаборатория'
'ladder';'лестница'
'lamb';'ягненок'
'land';'земля'
'landlord';'домовладелец'
'largely';'в основном'
'last';'последний'
'lasting';'длительный'
'latecomer';'опоздавший'
'lately';'недавно'
'laugh';'смех'
'laughter';'смех'
'launch';'запуск'
'lawful';'законный'
'lay';'класть'
'layer';'слой'
'lead';'вести'
'leadership';'лидерство'
'leading';'ведущий'
'league';'лига'
'lean';'наклонять'
'leap';'прыгнуть'
'least';'наименее'
'leave';'оставлять'
'lecture';'лекция'
'legal';'юридический'
'legally';'юридически'
'length';'длина'
'lessen';'уменьшить'
'lettuce';'латук'
'level';'уровень'
'liar';'лжец'
'liberate';'освободить'
'liberation';'освобождение'
'librarian';'библиотекарь'
'lie';'ложь'
'lifeguard';'Спасатель'
'lifelong';'пожизненный'
'lift';'поднимать'
'light';'свет'
'lighter';'легче'
'lightly';'слегка'
'lightning';'молния'
'like';'нравиться'
'likeness';'сходство'
'limit';'предел'
