"english";"russian";"difficulty"
"boss";"босс";A2
"bother";"беспокоить";A2
"bra";"бюстгальтер";A2
"brainstorm";"мозговой штурм";A2
"brake";"тормоз";A2
"branch";"ветвь";A2
"brand";"бренд";A2
"brave";"храбрый";A2
"break";"перерыв";A2
"breeze";"ветер";A2
"bride";"невеста";A2
"brilliant";"блестящий";A2
"brown";"коричневый";A2
"budget";"бюджет";A2
"bug";"ошибка";A2
"bulb";"лампочка";A2
"burn";"гореть";A2
"bury";"хоронить";A2
"bus station";"автовокзал";A2
"bus stop";"автобусная остановка";A2
"bush";"куст";A2
"businessman";"бизнесмен";A2
"businesswoman";"деловая женщина";A2
"cab";"такси";A2
"cafeteria";"столовая";A2
"calendar";"календарь";A2
"call";"вызов";A2
"camp";"лагерь";A2
"camping";"кемпинг";A2
"campus";"кампус";A2
"can";"может";A2
"capital";"капитал";A2
"capital letter";"заглавная буква";A2
"captain";"капитан";A2
"car park";"автостоянка";A2
"carrot";"морковь";A2
"cash";"наличные";A2
"cassette";"кассета";A2
"castle";"замок";A2
"cause";"причина";A2
"cent";"цент";A2
"center";"центр";A2
"centimeter";"сантиметр";A2
"century";"век";A2
"cereal";"злак";A2
"certain";"определенный";A2
"certainly";"конечно";A2
"chain";"цепь";A2
"chairman";"председатель";A2
"challenge";"испытание";A2
"champagne";"шампанское";A2
"championship";"чемпионат";A2
"chance";"шанс";A2
"chapter";"глава";A2
"chart";"диаграмма";A2
"chat";"чат";A2
"cheap";"дешевый";A2
"check";"проверять";A2
"cheek";"щека";A2
"cheer";"ободрять";A2
"chef";"повар";A2
"chemical";"химический";A2
"chess";"шахматы";A2
"chest";"грудь";A2
"childhood";"детство";A2
"chili";"перец чили";A2
"chimpanzee";"шимпанзе";A2
"chin";"подбородок";A2
"chirp";"чирикать";A2
"choice";"выбор";A2
"cigarette";"сигарета";A2
"citizen";"гражданин";A2
"claim";"требовать";A2
"classic";"классический";A2
"classical music";"классическая музыка";A2
"cleaner";"уборщик";A2
"clear";"прозрачный";A2
"clearly";"четко";A2
"clerk";"клерк";A2
"click";"щелкнуть";A2
"climb";"взбираться";A2
"climbing";"восхождение";A2
"clone";"клонировать";A2
"clown";"клоун";A2
"clue";"зацепка";A2
"coast";"побережье";A2
"coin";"монета";A2
"cola";"кола";A2
"colorful";"красочный";A2
"column";"столбец";A2
"comb";"гребень";A2
"comfortable";"комфортный";A2
"comic";"комикс";A2
"commitment";"обязательство";A2
"committee";"комитет";A2
"common";"общий";A2
"communicate";"общаться";A2
"communication";"коммуникация";A2
"company";"компания";A2
"comparative";"сравнительный";A2
"compare";"сравнивать";A2
"competition";"соревнование";A2
"complain";"жаловаться";A2
"complaint";"жалоба";A2
"complete";"полный";A2
"composer";"композитор";A2
"concentrate";"сконцентрироваться";A2
"concern";"беспокойство";A2
"condition";"состояние";A2
"confident";"уверенный";A2
"confuse";"путать";A2
"confused";"смущенный";A2
"consequence";"последствие";A2
"consider";"учитывать";A2
"consist";"состоять";A2
"contact";"контакт";A2
"container";"контейнер";A2
"context";"контекст";A2
"continent";"континент";A2
"continue";"продолжать";A2
"contrast";"контраст";A2
"control";"контроль";A2
"convenience";"удобство";A2
"convenient";"удобный";A2
"cooker";"плита";A2
"cooking";"приготовление пищи";A2
"cooler";"охладитель";A2
"copy";"копировать";A2
"correctly";"правильно";A2
"cost";"расходы";A2
"count";"считать";A2
"country";"страна";A2
"countryside";"сельская местность";A2
"couple";"пара";A2
"court";"суд";A2
"cover";"крышка";A2
"crazy";"сумасшедший";A2
"cream";"крем";A2
"create";"создавать";A2
"creative";"творческий";A2
"creativity";"креативность";A2
"creature";"существо";A2
"credit";"кредит";A2
"cricket";"крикет";A2
"crime";"преступление";A2
"crisp";"свежий";A2
"criticize";"критиковать";A2
"cross";"крест";A2
"crowd";"толпа";A2
"crowded";"переполненный";A2
"crown";"корона";A2
"cruise";"круиз";A2
"cry";"плакать";A2
"cupboard";"буфет";A2
"curry";"карри";A2
"curse";"проклинать";A2
"custom";"обычай";A2
"customer";"клиент";A2
"cycling";"езда на велосипеде";A2
"daily";"ежедневно";A2
"dam";"плотина";A2
"dancer";"танцор";A2
"danger";"Опасность";A2
"dangerous";"опасный";A2
"daylight";"дневной свет";A2
"dead";"мертвый";A2
"deal";"иметь дело";A2
"death";"смерть";A2
"debate";"дебаты";A2
"decide";"решать";A2
"deep";"глубокий";A2
"deeply";"глубоко";A2
"degree";"степень";A2
"delay";"задерживать";A2
"dentist";"дантист";A2
"department store";"универмаг";A2
"depend";"зависеть";A2
"description";"описание";A2
"desert";"пустыня";A2
"dessert";"десерт";A2
"destroy";"разрушать";A2
"detail";"деталь";A2
"develop";"развивать";A2
"developed";"развитый";A2
"diamond";"алмаз";A2
"diary";"дневник";A2
"die";"умереть";A2
"diet";"диета";A2
"differently";"по-другому";A2
"difficulty";"трудность";A2
"digital camera";"цифровая камера";A2
"dinosaur";"динозавр";A2
"direct";"прямой";A2
"direction";"направление";A2
"director";"директор";A2
"disadvantage";"недостаток";A2
"disagree";"не согласен";A2
"disappear";"пропадать";A2
"disappointed";"расстроенный";A2
"disappointing";"разочаровывающий";A2
"disco";"дискотека";A2
"discover";"обнаружить";A2
"discussion";"обсуждение";A2
"dishonest";"нечестный";A2
"dislike";"не нравится";A2
"display";"отображать";A2
"disturb";"беспокоить";A2
"divide";"разделять";A2
"dizzy";"испытывающий головокружение";A2
"done";"сделанный";A2
"double";"двойной";A2
"doubt";"сомневаться";A2
"down";"вниз";A2
"download";"скачать";A2
"downstairs";"внизу";A2
"downtown";"центр города";A2
"draw";"рисовать";A2
"drawer";"ящик";A2
"drawing";"рисунок";A2
"dream";"мечтать";A2
"dress";"одеваться";A2
"dressed";"одет";A2
"drill";"сверлить";A2
"drive";"водить машину";A2
"driver license";"водительское удостоверение";A2
"drop";"уронить";A2
"drug";"лекарство";A2
"drugstore";"аптека";A2
"dry";"сухой";A2
"duck";"утка";A2
"during";"в течение";A2
"dust";"пыль";A2
"early";"рано";A2
"earn";"зарабатывать";A2
"earring";"серьга";A2
"earth";"земля";A2
"earthquake";"землетрясение";A2
"easily";"легко";A2
"east";"восток";A2
"editor";"редактор";A2
"education";"образование";A2
"educational";"образовательный";A2
"effect";"эффект";A2
"effort";"усилие";A2
"either";"или";A2
"elderly";"пожилой";A2
"electric";"электрический";A2
"elephant";"слон";A2
"elevator";"лифт";A2
"elsewhere";"в другом месте";A2
"email";"электронная почта";A2
"embarrassing";"смущающий";A2
"emergency";"чрезвычайная ситуация";A2
"empty";"пустой";A2
"encourage";"поощрять";A2
"end";"конец";A2
"endangered";"находящихся под угрозой исчезновения";A2
"ending";"окончание";A2
"energetic";"энергичный";A2
"enormous";"громадный";A2
"enough";"достаточно";A2
"enter";"входить";A2
"entertainment";"развлечение";A2
"entrance";"вход";A2
"envelope";"конверт";A2
"envy";"завидовать";A2
"episode";"эпизод";A2
"error";"ошибка";A2
"escalator";"эскалатор";A2
"escape";"побег";A2
"especially";"особенно";A2
"essay";"эссе";A2
"establish";"учреждать";A2
"euro";"евро";A2
"even";"даже";A2
"ever";"всегда";A2
"evidence";"доказательство";A2
"exactly";"точно";A2
"exam";"экзамен";A2
"except";"кроме";A2
"exchange";"обмен";A2
"exercise";"упражнение";A2
"exhibition";"выставка";A2
"exist";"существовать";A2
"expect";"ожидать";A2
"experience";"опыт";A2
"expert";"эксперт";A2
"explain";"объяснять";A2
"explanation";"объяснение";A2
"explore";"исследовать";A2
"express";"выражать";A2
"expression";"выражение";A2
"extra";"дополнительный";A2
"extremely";"очень сильно";A2
"face";"лицо";A2
"fact";"факт";A2
"fail";"неудача";A2
"fairly";"весьма";A2
"fall";"падать";A2
"familiar";"привычный";A2
"fancy";"изысканный";A2
"fantastic";"фантастический";A2
"far";"далеко";A2
"fare";"стоимость проезда";A2
"fascinating";"очаровательный";A2
"fashion";"мода";A2
"fast food";"быстрое питание";A2
"fault";"вина";A2
"favor/favour";"благосклонность";A2
"fear";"страх";A2
"feather";"перо";A2
"feature";"особенность";A2
"fee";"платеж";A2
"feel";"чувствовать";A2
"female";"женский";A2
"fence";"изгородь";A2
"few";"немного";A2
"fiction";"вымысел";A2
"fighter";"боец";A2
"figure";"фигура";A2
"film";"фильм";A2
"final";"финальный";A2
"finally";"окончательно";A2
"first name";"имя";A2
"fisherman";"рыбак";A2
"fit";"соответствовать";A2
"fix";"исправить";A2
"flea";"блоха";A2
"flight";"полет";A2
"float";"плавать";A2
"flood";"наводнение";A2
"flour";"мука";A2
"fog";"туман";A2
"folder";"папка";A2
"follow";"следовать";A2
"fool";"дурак";A2
"footballer";"футболист";A2
"for";"для";A2
"forbid";"запретить";A2
"force";"сила";A2
"forest";"лес";A2
"forever";"навсегда";A2
"fork";"вилка";A2
"fortunately";"к счастью";A2
"fortune";"удача";A2
"forward";"вперед";A2
"frame";"рамка";A2
"frank";"откровенный";A2
"free";"бесплатно";A2
"freedom";"свобода";A2
"freeze";"заморозить";A2
"fresh";"свежий";A2
"fridge";"холодильник";A2
"fried";"жареный";A2
"friendship";"дружба";A2
"frighten";"пугать";A2
"frightened";"испуганный";A2
"frightening";"пугающий";A2
"front";"передний";A2
"fry";"жарить";A2
"fully";"полностью";A2
"function";"функция";A2
"furniture";"мебель";A2
"further";"дальше";A2
"gallery";"галерея";A2
"garage";"гараж";A2
"garlic";"чеснок";A2
"gas";"газ";A2
"gate";"ворота";A2
"gather";"собирать";A2
"gender";"пол";A2
"generation";"поколение";A2
"gentle";"нежный";A2
"given";"данный";A2
"globe";"глобус";A2
"glove";"перчатка";A2
"gold";"золото";A2
"golden";"золотой";A2
"golf";"гольф";A2
"good-looking";"хорошо выглядит";A2
"government";"правительство";A2
"grace";"милость";A2
"gradually";"постепенно";A2
"graduate";"выпускник";A2
"gram/gramme";"грамм";A2
"grandchild";"внук";A2
"granddad";"дедушка";A2
"granddaughter";"внучка";A2
"grandson";"внук";A2
"granny";"бабушка";A2
"grateful";"благодарный";A2
"greatly";"значительно";A2
"greedy";"жадный";A2
"green";"зеленый";A2
"grilled";"жареный на гриле";A2
"grocery store";"продуктовый магазин";A2
"guard";"сторожить";A2
"guidebook";"путеводитель";A2
"gun";"пистолет";A2
"half";"половина";A2
"half-price";"полцены";A2
"ham";"ветчина";A2
"hand";"рука";A2
"handbag";"сумочка";A2
"handicapped";"инвалид";A2
"handle";"ручка";A2
"happily";"счастливо";A2
"happiness";"счастье";A2
"hardly";"едва ли";A2
"harm";"вред";A2
"harmful";"вредный";A2
"harmony";"гармония";A2
"harvest";"урожай";A2
"hate";"ненавидеть";A2
"head";"голова";A2
"headphone";"наушники";A2
"headteacher";"директор школы";A2
"heat";"нагревать";A2
"heating";"обогрев";A2
"heavily";"сильно";A2
"help";"помощь";A2
"helpful";"полезный";A2
"hero";"герой";A2
"herself";"себя";A2
"hey";"привет";A2
"high";"высокий";A2
"high school";"средняя школа";A2
"highway";"шоссе";A2
"hike";"поход";A2
"hiking";"пеший туризм";A2
"himself";"сам";A2
"hip hop";"хип-хоп";A2
"hit";"ударять";A2
"hockey";"хоккей";A2
"hold";"держать";A2
"home";"дом";A2
"honey";"мед";A2
"honor";"честь";A2
"horror";"ужас";A2
"host";"хозяин";A2
"however";"однако";A2
"hug";"обнимать";A2
"human";"человек";A2
"hundred";"сто";A2
"hunter";"охотник";A2
"hurry";"торопиться";A2
"ID";"ИДЕНТИФИКАТОР";A2
"ID card";"Удостоверение личности";A2
"ill";"больной";A2
"illegal";"незаконный";A2
"image";"изображение";A2
"imagination";"воображение";A2
"impact";"влияние";A2
"impatient";"нетерпеливый";A2
"importance";"важность";A2
"importantly";"главное";A2
"impossible";"невозможный";A2
"impress";"произвести впечатление";A2
"improve";"улучшать";A2
"in";"в";A2
"inch";"дюйм";A2
"include";"включать";A2
"increase";"увеличивать";A2
"indeed";"действительно";A2
"independence";"независимость";A2
"indicate";"указывать";A2
"indoor";"крытый";A2
"inexpensive";"недорогой";A2
"influence";"влияние";A2
"injure";"ранить";A2
"inner";"внутренний";A2
"insect";"насекомое";A2
"inside";"внутри";A2
"inspiration";"вдохновение";A2
"instant";"мгновенный";A2
"instead";"вместо";A2
"instrument";"инструмент";A2
"intelligence";"интеллект";A2
"intelligent";"разумный";A2
"interest";"интерес";A2
"international";"международный";A2
"invade";"вторгаться";A2
"invent";"изобретать";A2
"invention";"изобретение";A2
"invite";"приглашать";A2
"issue";"проблема";A2
"it";"это";A2
"itself";"сам";A2
"jam";"варенье";A2
"jelly";"желе";A2
"joke";"шутить";A2
"journey";"путешествие";A2
"joy";"радость";A2
"junior";"младший";A2
"junk";"хлам";A2
"killer";"убийца";A2
"kilo";"килограмм";A2
"kilogram";"килограммы";A2
"kilometer/kilometre";"километр";A2
"kind";"добрый";A2
"kindly";"любезно";A2
"kingdom";"королевство";A2
"kit";"набор";A2
"knock";"стучать";A2
"knowledge";"знание";A2
"labor/labour";"труд";A2
"lack";"недостаток";A2
"lake";"озеро";A2
"lamp";"лампа";A2
"land";"земля";A2
"landscape";"пейзаж";A2
"lane";"переулок";A2
"last";"последний";A2
"latest";"последний";A2
"latter";"последний";A2
"law";"закон";A2
"lawyer";"адвокат";A2
"laziness";"лень";A2
"lead";"вести";A2
"learner";"ученик";A2
"least";"наименее";A2
"leather";"кожа";A2
"left";"левый";A2
"left-hand";"левая рука";A2
"leisure";"досуг";A2
"lemon";"лимон";A2
"lemonade";"лимонад";A2
"lend";"одалживать";A2
"less";"меньше";A2
"level";"уровень";A2
"liberty";"свобода";A2
"license";"лицензия";A2
"lie";"ложь";A2
"lifestyle";"образ жизни";A2
"likely";"вероятный";A2
"lip";"губа";A2
"liter/litre";"литр";A2
"lively";"живой";A2
"load";"нагрузка";A2
"local";"местный";A2
"lock";"замок";A2
"logical";"логичный";A2
"long";"длинный";A2
"loose";"свободный";A2
"lose";"терять";A2
"lost";"потерянный";A2
"lot";"много";A2
"loudly";"громко";A2
"lover";"возлюбленный";A2
"low";"низкий";A2
"luckily";"к счастью";A2
"lunchtime";"время обеда";A2
"lyric";"лирический";A2
"mad";"безумный";A2
"magic";"магия";A2
"main course";"основное блюдо";A2
"mainly";"главным образом";A2
"major";"главный";A2
"maker";"создатель";A2
"make-up";"составить";A2
"male";"мужской";A2
"mall";"торговый центр";A2
"manage";"управлять";A2
"manager";"менеджер";A2
"manner";"манера";A2
"mark";"отметка";A2
"market";"рынок";A2
"married";"женатый";A2
"marry";"жениться";A2
"marvelous";"чудесный";A2
"material";"материал";A2
"matter";"иметь значение";A2
"max";"Макс";A2
"mean";"иметь в виду";A2
"meaning";"значение";A2
"medal";"медаль";A2
"medical";"медицинский";A2
"melon";"дыня";A2
"member";"член";A2
"mention";"упомянуть";A2
"menu";"меню";A2
"metal";"металл";A2
"meter/metre";"метр";A2
"method";"метод";A2
"midday";"середина дня";A2
"middle";"середина";A2
"midnight";"полночь";A2
"might";"мощь";A2
"military";"военный";A2
"million";"миллион";A2
"mind";"разум";A2
"mineral water";"минеральная вода";A2
"mirror";"зеркало";A2
"missing";"отсутствующий";A2
"mistake";"ошибка";A2
"mix";"смешивание";A2
"mobile";"мобильный";A2
"model";"модель";A2
"modern";"современный";A2
"mood";"настроение";A2
"mosque";"мечеть";A2
"most";"большинство";A2
"mostly";"по большей части";A2
"motorway";"автомагистраль";A2
"move";"двигаться";A2
"MP3 player";"MP3-плеер";A2
"Ms";"Мисс";A2
"mug";"кружка";A2
"murder";"убийство";A2
"museum";"музей";A2
"mushroom";"гриб";A2
"musical";"мюзикл";A2
"myself";"сам";A2
"mysterious";"загадочный";A2
"mystery";"тайна";A2
"napkin";"салфетка";A2
"nation";"нация";A2
"national";"национальный";A2
"native";"родной";A2
"natural";"естественный";A2
"nature";"природа";A2
"nearly";"около";A2
"necessary";"необходимый";A2
"need";"нуждаться";A2
"negative";"отрицательный";A2
"nervous";"нервный";A2
"net";"сеть";A2
"next";"следующий";A2
"next to";"рядом с";A2
"no one";"никто";A2
"nobody";"никто";A2
"noisy";"шумный";A2
"noon";"полдень";A2
"normal";"нормальный";A2
"north";"север";A2
"notice";"уведомление";A2
"noun";"существительное";A2
"novel";"роман";A2
"nowadays";"настоящее время";A2
"oak";"дуб";A2
"occupation";"занятие";A2
"off";"выключенный";A2
"offer";"предложение";A2
"official";"чиновник";A2
"oil";"масло";A2
"olive oil";"оливковое масло";A2
"Olympic";"Олимпийский";A2
"omelet";"омлет";A2
"on";"на";A2
"one";"один";A2
"onion";"лук";A2
"online";"онлайн";A2
"operate";"действовать";A2
"opinion";"мнение";A2
"opportunity";"возможность";A2
"oppose";"выступать против";A2
"opposite";"противоположный";A2
"order";"заказ";A2
"organize";"организовать";A2
"organized";"организованный";A2
"original";"оригинальный";A2
"orphan";"сирота";A2
"other";"другой";A2
"ourselves";"мы сами";A2
"out of";"из";A2
"outside";"снаружи";A2
"oven";"печь";A2
"over";"над";A2
"overseas";"за границей";A2
"overweight";"избыточный вес";A2
"own";"собственный";A2
"pacific";"Тихоокеанский";A2
"pack";"пакет";A2
"painter";"художник";A2
"pal";"приятель";A2
"pan";"кастрюля";A2
"panic";"паника";A2
"park";"парк";A2
"part";"часть";A2
"partly";"частично";A2
"pass";"проходить";A2
"passage";"проход";A2
"passenger";"пассажир";A2
"pasta";"макароны";A2
"path";"путь";A2
"patient";"пациент";A2
"PC";"ПК";A2
"pea";"горох";A2
"peaceful";"мирный";A2
"pear";"груша";A2
"pence";"пенсы";A2
"penfriend";"друг по переписке";A2
"pepper";"перец";A2
"perfect";"идеальный";A2
"perfectly";"идеально";A2
"perform";"выполнять";A2
"performance";"производительность";A2
"perfume";"духи";A2
"perhaps";"возможно";A2
"permission";"разрешение";A2
"personality";"личность";A2
"petrol";"бензин";A2
"petrol station";"заправочная станция";A2
"photograph";"фотография";A2
"photographer";"фотограф";A2
"photography";"фотография";A2
"physical";"физический";A2
"physically";"физически";A2
"pile";"куча";A2
"pilgrim";"паломник";A2
"pill";"таблетка";A2
"pilot";"пилот";A2
"pink";"розовый";A2
"pity";"жалость";A2
"planet";"планета";A2
"plant";"растение";A2
"plastic";"пластик";A2
"plate";"тарелка";A2
"playful";"игривый";A2
"playground";"детская площадка";A2
"pleasant";"приятный";A2
"pleased";"довольный";A2
"pleasing";"приятный";A2
"plenty";"множество";A2
"plural";"множественное число";A2
"plus";"плюс";A2
"point";"точка";A2
"police";"полиция";A2
"police officer";"полицейский";A2
"police station";"полицейский участок";A2
"policeman";"полицейский";A2
"policewoman";"женщина-полицейский";A2
"polite";"вежливый";A2
"political";"политический";A2
"pollute";"загрязнять";A2
"popular";"популярный";A2
"population";"население";A2
"portrait";"портрет";A2
"position";"позиция";A2
"possible";"возможный";A2
"possibly";"возможно";A2
"post";"почта";A2
"post office";"почтовое отделение";A2
"pour";"налить";A2
"power";"власть";A2
"powerful";"мощный";A2
"precise";"точный";A2
"predict";"предсказывать";A2
"prediction";"прогноз";A2
"prefer";"предпочитать";A2
"prepare";"подготовить";A2
"pressure";"давление";A2
"pretend";"притворяться";A2
"pretty";"симпатичный";A2
"prevent";"предотвращать";A2
"pride";"гордость";A2
"principal";"главный";A2
"print";"распечатать";A2
"printer";"принтер";A2
"private";"частный";A2
"pro";"про";A2
"probably";"вероятно";A2
"produce";"производить";A2
"product";"продукт";A2
"production";"производство";A2
"professional";"профессиональный";A2
"progressive";"прогрессивный";A2
"promise";"обещать";A2
"pronounce";"произносить";A2
"pronunciation";"произношение";A2
"proper";"правильный";A2
"provide";"предоставлять";A2
"psychologist";"психолог";A2
"public";"общественный";A2
"publish";"публиковать";A2
"pull";"тянуть";A2
"punctuation";"пунктуация";A2
"purple";"фиолетовый";A2
"purpose";"цель";A2
"pursue";"преследовать";A2
"quality";"качество";A2
"queen";"королева";A2
"quick";"быстрый";A2
"quietly";"тихо";A2
"quit";"покидать";A2
"quite";"довольно";A2
"quiz";"контрольный опрос";A2
"racket";"ракетка";A2
"raincoat";"плащ";A2
"raise";"поднимать";A2
"range";"диапазон";A2
"rap";"рэп";A2
"rate";"ставка";A2
"rather";"скорее";A2
"rating";"рейтинг";A2
"raw";"сырой";A2
"ray";"луч";A2
"reach";"достигать";A2
"realize";"осознать";A2
"receipt";"квитанция";A2
"receive";"получать";A2
"recent";"недавний";A2
"recently";"недавно";A2
"receptionist";"регистратор";A2
"record";"записывать";A2
"recycle";"перерабатывать";A2
"red";"красный";A2
"refer";"ссылаться";A2
"reflect";"отражать";A2
"refrigerator";"холодильник";A2
"regret";"сожалеть";A2
"regular";"обычный";A2
"regularly";"регулярно";A2
"relax";"расслабляться";A2
"relaxed";"расслабленный";A2
"release";"выпускать";A2
"remain";"оставаться";A2
"remind";"напоминать";A2
"remote";"удаленный";A2
"rent";"арендовать";A2
"repair";"ремонт";A2
"replace";"заменять";A2
"reply";"отвечать";A2
"report";"отчет";A2
"represent";"представлять";A2
"request";"запрос";A2
"research";"исследовать";A2
"response";"ответ";A2
"retire";"уходить в отставку";A2
"retired";"ушедший на пенсию";A2
"return";"возвращаться";A2
"reunion";"воссоединение";A2
"reveal";"раскрывать";A2
"rhythm";"ритм";A2
"right";"верно";A2
"right-hand";"правая рука";A2
"ring";"кольцо";A2
"road";"дорога";A2
"roast";"жарить";A2
"rob";"грабить";A2
"robbery";"грабеж";A2
"robin";"Робин";A2
"rock";"камень";A2
"roll";"рулон";A2
"romance";"романтика";A2
"romantic";"романтический";A2
"roof";"крыша";A2
"root";"корень";A2
"rope";"веревка";A2
"roughly";"грубо";A2
"round";"круглый";A2
"roundabout";"кольцевая развязка";A2
"royal";"королевский";A2
"rugby";"регби";A2
"ruin";"разорение";A2
"rumor";"слух";A2
"runner";"бегун";A2
"running";"бег";A2
"rush";"торопиться";A2
"sadly";"грустно";A2
"safe";"безопасный";A2
"sailing";"парусный спорт";A2
"sake";"ради";A2
"salt";"соль";A2
"sample";"образец";A2
"sandy";"Сэнди";A2
"satisfy";"удовлетворить";A2
"sauce";"соус";A2
"sausage";"колбаса";A2
"scale";"шкала";A2
"scarf";"шарф";A2
"scene";"сцена";A2
"scenery";"пейзаж";A2
"schedule";"расписание";A2
"schoolchild";"школьник";A2
"schoolwork";"школьная работа";A2
"scientific";"научный";A2
"scissors";"ножницы";A2
"scream";"крик";A2
"screen";"экран";A2
"screw";"винт";A2
"script";"сценарий";A2
"seafood";"морепродукты";A2
"search";"поиск";A2
"seaside";"морской";A2
"second";"второй";A2
"secret";"секрет";A2
"secretary";"секретарь";A2
"seed";"семя";A2
"seek";"искать";A2
"seem";"казаться";A2
"semester";"семестр";A2
"send";"отправлять";A2
"senior";"старший";A2
"sense";"смысл";A2
"separate";"отдельный";A2
"seriously";"серьезно";A2
"serve";"служить";A2
"set";"набор";A2
"several";"несколько";A2
"sew";"шить";A2
"shade";"оттенок";A2
"shadow";"тень";A2
"shall";"должен";A2
"shampoo";"шампунь";A2
"shape";"форма";A2
"share";"делиться";A2
"shell";"оболочка";A2
"shine";"светить";A2
"shock";"шок";A2
"shoot";"стрелять";A2
"shop assistant";"продавец-консультант";A2
"shore";"берег";A2
"short";"короткий";A2
"shot";"выстрелил";A2
"shout";"кричать";A2
"show";"показывать";A2
"shut";"закрыть";A2
"sightseeing";"осмотр достопримечательностей";A2
"significant";"значительный";A2
"silence";"тишина";A2
"silently";"молча";A2
"silly";"глупый";A2
"silver";"серебро";A2
"similar";"похожий";A2
"simple";"простой";A2
"simply";"просто";A2
"since";"с";A2
"singing";"пение";A2
"single";"одинокий";A2
"singular";"единственное число";A2
"sink";"раковина";A2
"sitting room";"гостиная";A2
"situation";"ситуация";A2
"skate";"кататься на коньках";A2
"skateboarding";"скейтбординг";A2
"skating";"катание на коньках";A2
"ski";"лыжи";A2
"skiing";"катание на лыжах";A2
"slave";"раб";A2
"sleepless";"бессонный";A2
"sleepy";"сонный";A2
"slice";"кусочек";A2
"slide";"слайд";A2
"slim";"стройный";A2
