'english_word';'russian_translation'
'primeval';'первобытный'
'tenacity';'упорство'
'tenacious';'цепкий'
'tenaciously';'упорно'
'exact';'точный'
'genomic';'геномный'
'genomically';'геномно'
'capacious';'вместительный'
'utilization';'использование'
'unequivocal';'однозначный'
'unequivocally';'однозначно'
'spontaneity';'спонтанность'
'provocation';'провокация'
'portraiture';'портретная живопись'
'tedium';'скука'
'succeed';'преуспевать'
'circumnavigate';'кругосветное плавание'
'circumnavigation';'кругосветное плавание'
'liaise';'поддерживать связь'
'contractual';'договорной'
'contractually';'по контракту'
'repute';'репутация'
'abject';'отвратительный'
'sheaf';'пучок'
'articulation';'артикуляция'
'articulate';'формулировать'
'spurious';'ложный'
'spuriously';'ложно'
'posture';'поза'
'calorific';'теплотворный'
'fabulate';'выдумывать'
'fabulation';'выдумка'
'octogenarian';'восьмидесятилетний'
'voracity';'прожорливость'
'brandish';'размахивать'
'repose';'отдых'
'unencumbered';'необремененный'
'buffoonery';'шутовство'
'gauche';'неловкий'
'domesticity';'домашняя жизнь'
'accrue';'накапливаться'
'proliferation';'распространение'
'blandishment';'уговоры'
'pluck';'срывать'
'anthropological';'антропологический'
'anthropologically';'антропологически'
'carbonize';'карбонизировать'
'monastic';'монашеский'
'graft';'взяточничество'
'midwifery';'акушерство'
'adornment';'украшение'
'adorn';'украшать'
'idle';'праздный'
'conjecture';'догадка'
'malleable';'податливый'
'malleability';'податливость'
'ore';'руда'
'gale';'шторм'
'promenade';'набережная'
'testimonial';'свидетельство'
'distill';'перегонять'
'distillation';'дистилляция'
'informant';'информатор'
'vis-a-vis';'лицом к лицу'
'overlay';'наложение'
'nostalgia';'ностальгия'
'nostalgic';'ностальгический'
'nostalgically';'ностальгически'
'grievance';'обида'
'deprivation';'лишение'
'residue';'остаток'
'residual';'остаток'
'physiological';'физиологический'
'physiologically';'физиологически'
'familiarize';'ознакомить'
'methodology';'методология'
'methodological';'методический'
'methodologically';'методологически'
'proportional';'пропорциональный'
'proportionally';'пропорционально'
'habitation';'жилье'
'inartistic';'нехудожественный'
'ornate';'богато украшенный'
'modernism';'модернизм'
'presuppose';'предполагать'
'presupposition';'предпосылка'
'centralized';'централизованный'
'contextual';'контекстуальный'
'contextually';'контекстуально'
'transmitter';'передатчик'
'regulatory';'нормативный'
'archival';'архивный'
'diffuse';'диффузный'
'egalitarian';'эгалитарный'
'hindsight';'ретроспективный взгляд'
'materialize';'материализоваться'
'materialization';'материализация'
'disperse';'разойтись'
'dispersal';'рассеяние'
'adverse';'неблагоприятный'
'adversely';'неблагоприятно'
'stabilize';'стабилизировать'
'pervasive';'всепроникающий'
'pervasiveness';'повсеместность'
'secure';'безопасный'
'autonomous';'автономный'
'autonomously';'автономно'
'outmoded';'устаревший'
'phase';'фаза'
'plum';'слива'
'notorious';'печально известный'
'notoriously';'общеизвестно'
'notoriety';'известность'
'menial';'чернорабочий'
'insular';'островной'
'antidote';'противоядие'
'postural';'постуральный'
'posturing';'позерство'
'revelatory';'разоблачительный'
'prostrate';'падать ниц'
'haphazard';'случайный'
'haphazardly';'случайно'
'deficient';'несовершенный'
'deficiently';'недостаточно'
'deficit';'дефицит'
'delicatessen';'гастроном'
'muscle-bound';'мускулистый'
'dive';'нырять'
'maneuver';'маневр'
'posit';'постулировать'
'cocoon';'кокон'
'chrysalis';'куколка'
'ignominious';'позорный'
'ignominiously';'позорно'
'euphoria';'эйфория'
'euphoric';'эйфорический'
'euphorically';'эйфорически'
'relegate';'понижать'
'succumb';'поддаться'
'treacherous';'коварный'
'treacherously';'предательски'
'treachery';'предательство'
'maggot';'личинка'
'palate';'нёбо'
'palatable';'приятный'
'hermit';'отшельник'
'hermetic';'герметичный'
'irrelevancy';'неуместность'
'mariner';'моряк'
'rift';'раскол'
'mere';'просто'
'helm';'шлем'
'autopilot';'автопилот'
'eminence';'возвышение'
'eminent';'выдающийся'
'preeminent';'выдающийся'
'mould';'плесень'
'unsuspected';'неожиданный'
'abolish';'отменять'
'paralyze';'паралич'
'paralysis';'паралич'
'paralyzingly';'парализующе'
'glory in';'слава в'
'decentralize';'децентрализовать'
'preoccupation';'озабоченность'
'preoccupy';'озабоченный'
'prolong';'продлить'
'audit';'аудит'
'drudgery';'тяжелая работа'
'pressurize';'оказывать давление'
'pressurization';'наддув'
'intermediary';'посредник'
'hotelier';'отельер'
'denote';'обозначать'
'denotation';'обозначение'
'profitability';'рентабельность'
'jargon';'жаргонизм'
'declination';'склонение'
'vocational';'профессиональный'
'spatial';'пространственный'
'spatially';'пространственно'
'punctual';'пунктуальный'
'punctuality';'пунктуальность'
'integration';'интеграция'
'curriculum';'учебный план'
'extracurricular';'внеклассный'
'encompass';'охватывать'
'all-encompassing';'всеобъемлющий'
'accountability';'подотчетность'
'frolic';'резвиться'
'minefield';'минное поле'
'side-step';'шаг в сторону'
'abundant';'обильный'
'abundantly';'обильно'
'abundance';'избыток'
'anarchic';'анархический'
'crystallize';'кристаллизоваться'
'crystallization';'кристаллизация'
'prescriptive';'предписывающий'
'slab';'плита'
'retrospect';'ретроспектива'
'retrospective';'ретроспектива'
'retrospection';'ретроспекция'
'wordage';'словесность'
'brevity';'краткость'
'uncanny';'сверхъестественный'
'tactic';'тактика'
'tactical';'тактический'
'tactically';'тактически'
'tactile';'тактильный'
'gambit';'гамбит'
'babble';'болтовня'
'bauble';'безделушка'
'correlate';'коррелировать'
'correlation';'корреляция'
'combustion';'горение'
'painstaking';'кропотливый'
'painstakingly';'кропотливо'
'contraption';'изобретение'
'mesh';'сетка'
'enabler';'инструмент, способствующий'
'fluctuate';'колебаться'
'fluctuation';'колебание'
'lyricist';'автор текстов'
'lyrical';'лирический'
'lyrically';'лирически'
'bona fide';'добросовестный'
'moribund';'умирающий'
'perch';'окунь'
'solicit';'требовать'
'vocalist';'вокалист'
'philanthropy';'благотворительность'
'philanthropist';'филантроп'
'philanthropic';'филантропический'
'philanthropically';'филантропически'
'precocious';'не по годам развитый'
'precociously';'преждевременно'
'wordsmith';'мастер слова'
'connote';'означать'
'connotation';'коннотация'
'herald';'вестник'
'philistine';'обыватель'
'innuendo';'намек'
'induce';'вызывать'
'inducement';'побуждение'
'anthology';'антология'
'lament';'оплакивать'
'lamentation';'плач'
'conduit';'трубопровод'
'chronology';'хронология'
'chronological';'хронологический'
'chronologically';'хронологически'
'equilibrium';'равновесие'
'rebound';'отскок'
'proposition';'предложение'
'flagging';'пометка'
'electrode';'электрод'
'caffeinate';'кофеинат'
'cosmic';'космический'
'interlude';'интермедия'
'haven';'убежище'
'beneficiary';'бенефициар'
'recuperate';'выздоравливать'
'recuperation';'восстановление сил'
'recuperative';'восстановительный'
'cultish';'культовый'
'seismic';'сейсмический'
'irrevocably';'безвозвратно'
'irrevocable';'безвозвратный'
'slither';'скользить'
'unnerve';'нервировать'
'unnerving';'нервирующий'
'unnervingly';'пугающе'
'protrude';'высовываться'
'protrusion';'выступ'
'qualitative';'качественный'
'procedural';'процедурный'
'demystify';'демистифицировать'
'demystification';'демистификация'
'proprietary';'собственный'
'proprietorial';'имущественный'
'tantamount';'равнозначный'
'floodgates';'шлюзы'
'imperceptible';'незаметный'
'imperceptibly';'незаметно'
'hapless';'несчастный'
'catastrophic';'катастрофический'
'catastrophically';'катастрофически'
'commission';'комиссия'
'wayward';'своенравный'
'blurb';'аннотация'
'provincial';'провинциальный'
'indolent';'ленивый'
'indolently';'лениво'
'indolence';'праздность'
'taste-maker';'вкусовик'
'deviant';'девиантный'
'deviantly';'девиантно'
'engender';'порождать'
'emolument';'вознаграждение'
'munificence';'щедрость'
'posterity';'потомство'
'venomous';'ядовитый'
'venomously';'ядовито'
'choreography';'хореография'
'choreographical';'хореографический'
'archetype';'архетип'
'archetypal';'архетипический'
'dissension';'разногласия'
'exalted';'возвышенный'
'exaltedly';'возвышенно'
'adept';'адепт'
'inert';'инертный'
'hitherto';'до сих пор'
'angst';'тревога'
'angsty';'тревожный'
'drabness';'серость'
'melodious';'мелодичный'
'melodiously';'мелодично'
'magpie';'приготовить пирог'
'lark';'жаворонок'
'melancholy';'меланхолия'
'meteorology';'метеорология'
'meteorological';'метеорологический'
'brink';'грань'
'unsurpassed';'непревзойденный'
'loiter';'слоняться без дела'
'topple';'опрокидывать'
'intrinsic';'внутренний'
'intrinsically';'по сути'
'merit';'заслуга'
'promotable';'рекламируемый'
'clinch';'клинч'
'anonymity';'анонимность'
'splinter';'осколок'
'reproach';'упрек'
'disseminate';'распространять'
'dissemination';'распространение'
'dissemble';'разобрать'
'mangle';'калечить'
'bereft';'лишенный'
'bereftly';'безнадёжно'
'soliloquy';'монолог'
'solipsism';'солипсизм'
'soliloquize';'монолог'
'mutinous';'мятежный'
'mutinously';'мятежно'
'prissy';'чопорный'
'reptilian';'рептилия'
'diminish';'уменьшать'
'undiminishing';'неубывающий'
'contagion';'заражение'
'homestead';'усадьба'
'computerize';'компьютеризировать'
'incumbent';'действующий президент'
'recumbent';'лежачий'
'nonchalant';'беспечный'
'nonchalantly';'беспечно'
'mesmeric';'гипнотизирующий'
'stultify';'отуплять'
'stultifyingly';'отупляюще'
'wallow';'валяться'
'ponderous';'тяжеловесный'
'ponderously';'тяжеловесно'
'lassitude';'усталость'
'vicinity';'окрестности'
'ebb';'отлив'
'wax';'воск'
'wane';'ослабевать'
'antediluvian';'допотопный'
'ostensible';'мнимый'
'ostensibly';'якобы'
'interlocking';'переплетение'
'plane';'самолет'
'undemonstrative';'недемонстративный'
'undemonstratively';'недемонстративно'
'menace';'угроза'
'menacing';'угрожающий'
'menacingly';'угрожающе'
'calamity';'бедствие'
'calamitous';'катастрофический'
'calamitously';'катастрофически'
'nigh';'близко'
'austere';'строгий'
'austerely';'строго'
'austerity';'жесткая экономия'
'idiosyncrasy';'идиосинкразия'
'idiosyncratic';'своеобразный'
'idiomatic';'идиоматический'
'idiomatically';'идиоматически'
'kinetic';'кинетический'
'kinetically';'кинетически'
'unmediated';'непосредственный'
'mediate';'посредничать'
'mediation';'посредничество'
'unharried';'неторопливый'
'figurative';'образный'
'figuratively';'в переносном смысле'
'exorcism';'экзорцизм'
'exorcist';'экзорцист'
'mundanity';'обыденность'
'mediocrity';'посредственность'
'dubiously';'сомнительно'
'curate';'курировать'
'curator';'куратор'
'antithesis';'антитеза'
'antithetical';'противоположный'
'parameter';'параметр'
'detract';'умалять'
'interrogate';'допрашивать'
'interrogation';'допрос'
'interrogative';'вопросительный'
'interrogatively';'вопросительно'
'perverse';'извращенный'
'perversity';'извращенность'
'attainment';'достижение'
'opaque';'непрозрачный'
'opacity';'непрозрачность'
'remit';'переводить'
'remittance';'денежный перевод'
'recourse';'обращение за помощью'
'pedestal';'пьедестал'
'pedestrian';'пешеход'
'lurid';'мрачный'
'luridly';'мрачно'
'fallacy';'заблуждение'
'rife';'изобилие'
'grumble';'ворчать'
'mercenary';'наемник'
'polysyllabic';'многосложный'
'syllabic';'слоговый'
'superfluous';'излишний'
'superfluously';'излишне'
'snippet';'фрагмент'
'practitioner';'практик'
'ephemeral';'эфемерный'
'ephemera';'эфемерный период'
'ephemerality';'эфемерность'
'summarily';'вкратце'
'skim';'просматривать'
'infallibly';'безошибочно'
'infallible';'непогрешимый'
'infallibility';'непогрешимость'
'depravity';'разврат'
'depraved';'развратный'
'deprecate';'осуждать'
'deprecatingly';'уничижительно'
'revile';'ругать'
'revulsion';'отвращение'
'meager/meagre';'скудный/скудный'
'arcane';'тайный'
'arcanely';'тайно'
'porten';'они приносят'
'divination';'гадание'
'flit';'порхать'
'hitch';'заминка'
'prone';'склонный'
'scavenger';'мусорщик'
'vermin';'паразит'
'totemic';'тотемический'
'emulate';'подражать'
'emulation';'эмуляция'
'avian';'птичий'
'vestigial';'рудиментарный'
'vestigially';'рудиментарно'
'barometer';'барометр'
'brouhaha';'шумиха'
'magnate';'магнат'
'magnanimous';'великодушный'
'magnanimously';'великодушно'
'magnanimity';'великодушие'
'whirlwind';'вихрь'
'strait';'пролив'
'secular';'светский'
'secularly';'светский'
'euphemism';'эвфемизм'
'euphemistic';'эвфемистический'
'euphemistically';'эвфемистически'
'condensation';'конденсация'
'redundant';'избыточный'
'redundancy';'избыточность'
'redundantly';'излишне'
'colloquial';'разговорный'
'colloquium';'коллоквиум'
'colloquially';'в разговорной речи'
'allusion';'намек'
'allude';'намекать'
'disparage';'принижать'
'disparaging';'пренебрежительный'
'disparagingly';'пренебрежительно'
'disparagement';'унижение'
'huddle';'ютиться'
'topography';'топография'
'topographical';'топографический'
'topographically';'топографически'
'confabulate';'болтать'
'confabulation';'болтовня'
'surrealist';'сюрреалист'
'surrealism';'сюрреализм'
'contrive';'изобретать'
'malice';'злоба'
'malicious';'злонамеренный'
'maliciously';'злонамеренно'
'cinematography';'кинематография'
'cinematographer';'оператор'
'maverick';'индивидуалист'
'diligent';'прилежный'
'diligence';'усердие'
'diligently';'старательно'
'turret';'румянец'
'impressionistic';'импрессионистический'
'impressionistically';'импрессионистически'
'snobbery';'снобизм'
'parochial';'приходской'
'gravitate';'тяготеть'
'gravitational';'гравитационный'
'gravitationally';'гравитационно'
'consternation';'испуг'
'haughty';'надменный'
'haughtily';'высокомерно'
'axiom';'аксиома'
'axiomatic';'аксиоматический'
'attrition';'потертость'
'enduringly';'надолго'
'reissue';'переиздание'
'sulphur';'сера'
'sulphuric';'серный'
'phantom';'Фантом'
'moor';'пришвартоваться'
'solitary';'одинокий'
'solitariness';'одиночество'
'solitude';'одиночество'
'adhere';'придерживаться'
'adhesion';'адгезия'
'proscribe';'запрещать'
'proscription';'запрет'
'crony';'приятель'
'dribble';'капать'
'ingrate';'неблагодарный'
'prise';'приз'
'rickety';'шаткий'
'consign';'отправлять'
'consignment';'партия'
'fete';'праздник'
'dole out';'раздавать'
'opulent';'богатый'
'opulence';'богатство'
'opulently';'богато'
'plutocrat';'плутократ'
'averse';'отвращение'
'edify';'назидать'
'edification';'назидание'
'converse';'беседовать'
'sterility';'бесплодие'
'rhetoric';'риторика'
'rhetorical';'риторический'
'rhetorically';'риторически'
'flighty';'непостоянный'
'flightiness';'непостоянство'
'brimstone';'сера'
'impeccable';'безупречный'
'impeccably';'безупречно'
'romp';'возня'
'romper';'комбинезон'
'meticulous';'дотошный'
'meticulously';'тщательно'
'ingratiate';'заискивать'
'ingratiating';'заискивающий'
'ingratiatingly';'заискивающе'
'shimmer';'мерцать'
'hull';'корпус'
'cull';'отбраковывать'
'swivel';'поворотный'
'relinquish';'отказаться'
'quiver';'колчан'
'sandwiched';'зажатый'
'mottled';'пестрый'
'epoxy';'эпоксидная смола'
'resin';'смола'
'sedately';'степенно'
'angular';'угловой'
'angularity';'угловатость'
'dampen';'увлажнять'
'buccaneer';'пират'
'conglomerate';'конгломерат'
'cay';'Кей'
'singe';'опалить'
'cordon';'кордон'
'fabled';'легендарный'
'glint';'блеск'
'infernal';'адский'
'infernally';'адски'
'presentational';'презентационный'
'embed';'вставлять'
'plume';'шлейф'
'happenstance';'случайность'
'venture';'риск'
'reconcile';'примирить'
'reconciliation';'примирение'
'conciliatory';'примирительный'
'conciliation';'примирение'
'preconception';'предубеждение'
'baroque';'барокко'
'virginal';'девственный'
'spire';'шпиль'
'elephantine';'слоновий'
'agency';'агентство'
'condone';'потворствовать'
'commodity';'товар'
'commode';'комод'
'unobtrusive';'ненавязчивый'
'unobtrusively';'ненавязчиво'
'unobtrusiveness';'ненавязчивость'
'compellingly';'убедительно'
'hauntingly';'навязчиво'
'brim';'до краев'
'hazard';'опасность'
'authenticity';'подлинность'
'scholarly';'ученый'
'accessibility';'доступность'
'cognitive';'познавательный'
'artifact';'артефакт'
'preservationist';'защитник природы'
'qualm';'курить'
'besiege';'осаждать'
'cloister';'монастырь'
'cloistered';'заточенный'
'annex';'приложение'
'resuscitate';'реанимировать'
'resuscitation';'реанимация'
'ravish';'восхищать'
'fabricate';'выдумывать'
'fabrication';'изготовление'
'patchy';'неоднородный'
'patchily';'неоднородно'
'resounding';'звучный'
'resoundingly';'громко'
'resound';'звучать'
'ordain';'рукоположить'
'inchoate';'зачаточный'
'inchoately';'в зачаточном состоянии'
'elated';'в восторге'
'elation';'восторг'
'hysteria';'истерия'
'hysterical';'истеричный'
'hysterically';'истерически'
'jarring';'резкий'
'suffuse';'наполнять'
'totter';'шататься'
'pyre';'костер'
'contemptuous';'презрительный'
'contemptuously';'презрительно'
'forlorn';'несчастный'
'forlornly';'несчастный'
'rebuke';'упрекать'
'abhorrent';'отвратительный'
'abhor';'ненавидеть'
'abhorrently';'отвратительно'
'aberration';'аберрация'
'emulsify';'эмульгировать'
'emulsification';'эмульгирование'
'emulsifier';'эмульгатор'
'additive';'добавка'
'confection';'кондитерское изделие'
'proximal';'проксимальный'
'vandalize';'вандализировать'
'vandal';'вандал'
'feign';'притворяться'
'paradoxical';'парадоксальный'
'paradoxically';'парадоксально'
'laryngitis';'ларингит'
'stringent';'строгий'
'astringent';'вяжущий'
'stringently';'строго'
'standing';'стоя'
'economize';'экономить'
'breadwinner';'кормилец'
'cosset';'лиф'
'counsel';'адвокат'
'misdemeanor';'проступок'
'aptitude';'способности'
'torrential';'проливной'
'banish';'изгонять'
'banishment';'изгнание'
'knack';'ловкость'
'fruition';'осуществление'
'tantalize';'дразнить'
'tantalizingly';'дразняще'
'maelstrom';'водоворот'
'vortex';'вихрь'
'depressive';'депрессивный'
'shoal';'мелководье'
'scroll';'прокрутка'
'collide';'сталкиваться'
'collider';'коллайдер'
'edifice';'здание'
'thicket';'заросли'
'leaven';'закваска'
'leavening';'закваска'
'ethos';'этос'
'exhibitionist';'эксгибиционист'
'interweave';'переплетать'
'burgeoning';'растущий'
'indiscrete';'нескромный'
'indiscretion';'неосмотрительность'
'telescopic';'телескопический'
'telescopically';'телескопически'
'amorphous';'аморфный'
'amorphously';'аморфно'
'hamper';'мешать'
'proliferate';'размножаться'
'deterrent';'сдерживать'
'selectivity';'избирательность'
'fractious';'капризный'
'mystique';'мистика'
'assimilate';'ассимилировать'
'assimilation';'ассимиляция'
'intersperse';'перемежать'
'verbatim';'дословно'
'verily';'воистину'
'veritable';'настоящий'
'verisimilitude';'правдоподобие'
'artifice';'выдумка'
'advantageous';'выгодный'
'unfeasible';'неосуществимый'
'unfeasibly';'неосуществимо'
'behest';'веление'
'virtuoso';'виртуоз'
'virtuosity';'виртуозность'
'cascade';'каскад'
'crippling';'калечащий'
'nascent';'зарождающийся'
'smattering';'поверхностный'
'corpus';'корпус'
'wheeze';'хрипеть'
'neophyte';'неофит'
'coax';'коаксиальный'
'formidably';'грозно'
'formidable';'грозный'
'squint';'щуриться'
'hoist';'подъемник'
'flatout';'упрямство'
'buzzard';'канюк'
'bogus';'фальшивый'
'derision';'насмешка'
'derisive';'насмешливый'
'derisively';'насмешливо'
'truism';'трюизм'
'prurient';'похотливый'
'wither';'увядать'
'prurience';'похотливость'
'tetchy';'раздражительный'
'agile';'гибкий'
'agility';'ловкость'
'aghast';'ошеломленный'
'dwarf';'карлик'
'dwarfism';'карликовость'
'etch';'травить'
'etching';'травление'
'rapture';'восторг'
'rapturous';'восторженный'
'rapturously';'восторженно'
'ad lib';'импровизированный'
'ad-lib';'импровизированный'
'improvisational';'импровизационный'
'acrobatics';'акробатика'
'acrobatically';'акробатически'
'acrobatic';'акробатический'
'arduous';'трудный'
'ardor';'пыл'
'arduously';'с трудом'
'counterproductive';'контрпродуктивный'
'counterproductively';'контрпродуктивно'
'proverbial';'пресловутый'
'instantaneous';'мгновенный'
'instantaneously';'мгновенно'
'mull over';'обдумывать'
'ruminate';'размышлять'
'rumination';'размышления'
'ruminant';'жвачное животное'
'ruminative';'задумчивый'
'hover';'зависать'
'armory';'оружейная'
'apostle';'апостол'
'blubber';'ворвань'
'blubbery';'вспыльчивость'
'merger';'слияние'
'trifle';'мелочь'
'eke out';'зарабатывать на жизнь'
'paramount';'первостепенный'
'squirm';'извиваться'
'squirmy';'извивающийся'
'floe';'льдина'
'embody';'воплощать'
'embodiment';'воплощение'
'wistful';'задумчивый'
'wistfully';'тоскливо'
'mercantile';'торговый'
'skew';'перекос'
'subsist';'существовать'
'subsistence';'существование'
'subsidy';'субсидия'
'subsidize';'субсидировать'
'legion';'легион'
'confrontational';'конфронтационный'
'confrontationally';'конфронтационно'
'bout';'бой'
'gout';'подагра'
'hinder';'мешать'
'hindrance';'помеха'
'myriad';'мириады'
'histrionic';'театральный'
'histrionically';'театрально'
'marketability';'ликвидность'
'tacit';'молчаливый'
'tacitly';'молчаливо'
'taciturn';'молчаливый'
'taciturnity';'молчаливость'
'surreptitious';'тайный'
'surreptitiously';'тайно'
'allegory';'аллегория'
'allegorical';'аллегорический'
'seedy';'захудалый'
'punitive';'карательный'
'punitively';'карательно'
'temper';'характер'
'milieu';'среда'
'self-aggrandizement';'самовозвышение'
'unadulterated';'чистый'
'adulterate';'фальсифицировать'
'patronize';'покровительствовать'
'patronizing';'покровительствующий'
'patronizingly';'покровительственно'
'cogent';'убедительный'
'cogently';'убедительно'
'incongruous';'нелепый'
'incongruously';'нелепо'
'incongruity';'несоответствие'
'deaden';'мертвый'
'attuned';'настроенный'
'attributive';'атрибутивный'
'ecotourism';'экотуризм'
'surge';'всплеск'
'farcical';'фарсовый'
'incise';'выгравированный'
'incipient';'зарождающийся'
'echolocation';'эхолокация'
'echolocate';'эхолокация'
'reverb';'реверберация'
'reverberation';'реверберация'
'reverberate';'отражаться'
'ingenuous';'простодушный'
'ingenuously';'простодушно'
'impresario';'импресарио'
'elasticity';'эластичность'
'synthesis';'синтез'
'salivary';'слюна'
'hypnotherapy';'гипнотерапия'
'wholly';'полностью'
'remorseful';'раскаявшийся'
'remonstrate';'возражать'
'remonstrance';'протест'
'unexcused';'необоснованный'
'unexceptionally';'обычно'
'unexceptional';'заурядный'
'inexorable';'неумолимый'
'inexorably';'неумолимо'
'inexorability';'неумолимость'
'tranquilize';'успокоить'
